"";"region";"condition";"LocEff";"expID";"Day"
"6";"dorsomedial hypothalamus";"Ongoing";0,128100607003564;"171207";2
"10";"dorsomedial hypothalamus";"LightON";0,254751235592083;"171207";2
"14";"dorsomedial hypothalamus";"Ongoing";0,130447196287597;"171208";2
"19";"dorsomedial hypothalamus";"LightON";0,281414576772948;"171208";2
"28";"dorsomedial hypothalamus";"Ongoing";0,309232593621126;"180110";2
"32";"dorsomedial hypothalamus";"LightON";0,331362752214213;"180110";2
"41";"dorsomedial hypothalamus";"Ongoing";0,234439123391309;"180131";1
"45";"dorsomedial hypothalamus";"LightON";0,420108681389042;"180131";1
"49";"dorsomedial hypothalamus";"Ongoing";0,248171131226038;"180221";2
"53";"dorsomedial hypothalamus";"LightON";0,460167976889954;"180221";2
"58";"dorsomedial hypothalamus";"Ongoing";0,107424113043299;"180228";2
"64";"dorsomedial hypothalamus";"LightON";0,155276226535268;"180228";2
"70";"dorsomedial hypothalamus";"Ongoing";0,146403505186682;"180302";1
"75";"dorsomedial hypothalamus";"LightON";0,238363942833524;"180302";1
"79";"dorsomedial hypothalamus";"Ongoing";0,0919363169522505;"180419";1
"83";"dorsomedial hypothalamus";"LightON";0,147485738727031;"180419";1
"87";"dorsomedial hypothalamus";"Ongoing";0,0919901018387068;"180420";1
"91";"dorsomedial hypothalamus";"LightON";0,145286522952333;"180420";1
"95";"dorsomedial hypothalamus";"Ongoing";0,115873431154943;"180423";1
"99";"dorsomedial hypothalamus";"LightON";0,196692241700825;"180423";1
