"";"region";"condition";"NodeDegree";"expID";"Day"
"1";"paraventricular hypothalamus";"Ongoing";137,7197165;"171019";"Day"
"3";"paraventricular hypothalamus";"LightON";568,446802;"171019";"Day"
"7";"paraventricular hypothalamus";"Ongoing";21,2993409;"171207";"Night"
"11";"paraventricular hypothalamus";"LightON";93,4185361;"171207";"Night"
"15";"paraventricular hypothalamus";"Ongoing";26,5202406666667;"171208";"Night"
"20";"paraventricular hypothalamus";"LightON";113,609411666667;"171208";"Night"
"23";"paraventricular hypothalamus";"Ongoing";116,1320615;"171213";"Night"
"25";"paraventricular hypothalamus";"LightON";222,233277777778;"171213";"Night"
"29";"paraventricular hypothalamus";"Ongoing";53,9954559047619;"180110";"Night"
"33";"paraventricular hypothalamus";"LightON";151,246614142857;"180110";"Night"
"35";"paraventricular hypothalamus";"Ongoing";14,555227;"180111";"Night"
"38";"paraventricular hypothalamus";"LightON";68,709782;"180111";"Night"
"42";"paraventricular hypothalamus";"Ongoing";11,179849;"180131";"Day"
"46";"paraventricular hypothalamus";"LightON";66,687771;"180131";"Day"
"50";"paraventricular hypothalamus";"Ongoing";123,610464857143;"180221";"Night"
"54";"paraventricular hypothalamus";"LightON";335,856066571429;"180221";"Night"
"72";"paraventricular hypothalamus";"Ongoing";56,77153675;"180302";"Day"
"77";"paraventricular hypothalamus";"LightON";155,9262315;"180302";"Day"
"89";"paraventricular hypothalamus";"Ongoing";51,3661962631579;"180420";"Day"
"93";"paraventricular hypothalamus";"LightON";310,218733473684;"180420";"Day"
