"";"region";"condition";"ClusCoeff";"expID";"Day"
"1";"paraventricular hypothalamus";"Ongoing";0,0969298440258332;"171019";1
"3";"paraventricular hypothalamus";"LightON";0,250584895656126;"171019";1
"7";"paraventricular hypothalamus";"Ongoing";0,0755993025948353;"171207";2
"11";"paraventricular hypothalamus";"LightON";0,208793639983313;"171207";2
"15";"paraventricular hypothalamus";"Ongoing";0,083529544687659;"171208";2
"20";"paraventricular hypothalamus";"LightON";0,228815951633021;"171208";2
"23";"paraventricular hypothalamus";"Ongoing";0,278623313314078;"171213";2
"25";"paraventricular hypothalamus";"LightON";0,469565533598017;"171213";2
"29";"paraventricular hypothalamus";"Ongoing";0,120262826224872;"180110";2
"33";"paraventricular hypothalamus";"LightON";0,286616286523877;"180110";2
"35";"paraventricular hypothalamus";"Ongoing";0,0601531478511249;"180111";2
"38";"paraventricular hypothalamus";"LightON";0,223390630593376;"180111";2
"42";"paraventricular hypothalamus";"Ongoing";0,0421021537525791;"180131";1
"46";"paraventricular hypothalamus";"LightON";0,159801089434801;"180131";1
"50";"paraventricular hypothalamus";"Ongoing";0,170602851402431;"180221";2
"54";"paraventricular hypothalamus";"LightON";0,396347463374429;"180221";2
"72";"paraventricular hypothalamus";"Ongoing";0,0974893228988674;"180302";1
"77";"paraventricular hypothalamus";"LightON";0,221891407518061;"180302";1
"89";"paraventricular hypothalamus";"Ongoing";0,0331648072077863;"180420";1
"93";"paraventricular hypothalamus";"LightON";0,248959250471827;"180420";1
