"";"region";"condition";"LocEff";"expID";"Day"
"1";"paraventricular hypothalamus";"Ongoing";0,24070169476813;"171019";1
"3";"paraventricular hypothalamus";"LightON";0,252409250183024;"171019";1
"7";"paraventricular hypothalamus";"Ongoing";0,098730368415784;"171207";2
"11";"paraventricular hypothalamus";"LightON";0,21163989859462;"171207";2
"15";"paraventricular hypothalamus";"Ongoing";0,155548310881807;"171208";2
"20";"paraventricular hypothalamus";"LightON";0,325493542156048;"171208";2
"23";"paraventricular hypothalamus";"Ongoing";0,467998707416535;"171213";2
"25";"paraventricular hypothalamus";"LightON";0,492807170156086;"171213";2
"29";"paraventricular hypothalamus";"Ongoing";0,31306566765463;"180110";2
"33";"paraventricular hypothalamus";"LightON";0,298752499043821;"180110";2
"35";"paraventricular hypothalamus";"Ongoing";0,1324647511724;"180111";2
"38";"paraventricular hypothalamus";"LightON";0,229159178930632;"180111";2
"42";"paraventricular hypothalamus";"Ongoing";0,0824695616860364;"180131";1
"46";"paraventricular hypothalamus";"LightON";0,177400805072852;"180131";1
"50";"paraventricular hypothalamus";"Ongoing";0,217196454312499;"180221";2
"54";"paraventricular hypothalamus";"LightON";0,415265114074425;"180221";2
"72";"paraventricular hypothalamus";"Ongoing";0,144305109049192;"180302";1
"77";"paraventricular hypothalamus";"LightON";0,233076586017432;"180302";1
"89";"paraventricular hypothalamus";"Ongoing";0,25133315688813;"180420";1
"93";"paraventricular hypothalamus";"LightON";0,265578359577952;"180420";1
