"";"region";"condition";"LocEff";"expID";"Day"
"16";"ventromedial hypothalamus";"Ongoing";0,174345348317871;"171208";2
"21";"ventromedial hypothalamus";"LightON";0,271139979107291;"171208";2
"36";"ventromedial hypothalamus";"Ongoing";0,14903164475172;"180111";2
"39";"ventromedial hypothalamus";"LightON";0,261031724820722;"180111";2
"51";"ventromedial hypothalamus";"Ongoing";0,23343819929784;"180221";2
"55";"ventromedial hypothalamus";"LightON";0,438142270690513;"180221";2
"60";"ventromedial hypothalamus";"Ongoing";0,10038353449746;"180228";2
"66";"ventromedial hypothalamus";"LightON";0,151950383592207;"180228";2
"81";"ventromedial hypothalamus";"Ongoing";0,127590746726364;"180419";1
"85";"ventromedial hypothalamus";"LightON";0,191396445963556;"180419";1
"98";"ventromedial hypothalamus";"Ongoing";0,152460059251484;"180423";1
"102";"ventromedial hypothalamus";"LightON";0,222308543011367;"180423";1
