"";"region";"condition";"NodeDegree";"expID";"Day"
"2";"ventromedial thalamus";"Ongoing";114,771726556452;"171019";"Day"
"4";"ventromedial thalamus";"LightON";508,848193935484;"171019";"Day"
"8";"ventromedial thalamus";"Ongoing";22,5810194615385;"171207";"Night"
"12";"ventromedial thalamus";"LightON";115,612802307692;"171207";"Night"
"17";"ventromedial thalamus";"Ongoing";40,3596783076923;"171208";"Night"
"22";"ventromedial thalamus";"LightON";97,1235726153846;"171208";"Night"
"24";"ventromedial thalamus";"Ongoing";64,3591404666667;"171213";"Night"
"26";"ventromedial thalamus";"LightON";211,495427333333;"171213";"Night"
"30";"ventromedial thalamus";"Ongoing";75,517805;"180110";"Night"
"34";"ventromedial thalamus";"LightON";195,965368857143;"180110";"Night"
"37";"ventromedial thalamus";"Ongoing";25,49398625;"180111";"Night"
"40";"ventromedial thalamus";"LightON";104,29818325;"180111";"Night"
"44";"ventromedial thalamus";"Ongoing";57,16673;"180131";"Day"
"48";"ventromedial thalamus";"LightON";149,043253555556;"180131";"Day"
"52";"ventromedial thalamus";"Ongoing";127,226607222222;"180221";"Night"
"56";"ventromedial thalamus";"LightON";248,376080703704;"180221";"Night"
"61";"ventromedial thalamus";"Ongoing";105,547846571429;"180228";"Night"
"67";"ventromedial thalamus";"LightON";251,843309285714;"180228";"Night"
"82";"ventromedial thalamus";"Ongoing";57,60692;"180419";"Day"
"86";"ventromedial thalamus";"LightON";155,3078002;"180419";"Day"
