"";"region";"condition";"ClusCoeff";"expID";"Day"
"2";"ventromedial thalamus";"Ongoing";0,0896867472305564;"171019";1
"4";"ventromedial thalamus";"LightON";0,233570013586402;"171019";1
"8";"ventromedial thalamus";"Ongoing";0,083911774419709;"171207";2
"12";"ventromedial thalamus";"LightON";0,238665500612886;"171207";2
"17";"ventromedial thalamus";"Ongoing";0,0813767216798803;"171208";2
"22";"ventromedial thalamus";"LightON";0,218722112097374;"171208";2
"24";"ventromedial thalamus";"Ongoing";0,179089846096559;"171213";2
"26";"ventromedial thalamus";"LightON";0,382431796665427;"171213";2
"30";"ventromedial thalamus";"Ongoing";0,167164822492704;"180110";2
"34";"ventromedial thalamus";"LightON";0,348930114941572;"180110";2
"37";"ventromedial thalamus";"Ongoing";0,104224183229147;"180111";2
"40";"ventromedial thalamus";"LightON";0,285648485239281;"180111";2
"44";"ventromedial thalamus";"Ongoing";0,16856225067146;"180131";1
"48";"ventromedial thalamus";"LightON";0,36385503272592;"180131";1
"52";"ventromedial thalamus";"Ongoing";0,171541691829567;"180221";2
"56";"ventromedial thalamus";"LightON";0,341231527514983;"180221";2
"61";"ventromedial thalamus";"Ongoing";0,101147999902168;"180228";2
"67";"ventromedial thalamus";"LightON";0,207098123756274;"180228";2
"82";"ventromedial thalamus";"Ongoing";0,0995928313909476;"180419";1
"86";"ventromedial thalamus";"LightON";0,100683531436447;"180419";1
