"";"region";"condition";"LocEff";"expID";"Day"
"2";"ventromedial thalamus";"Ongoing";0,240212709694718;"171019";1
"4";"ventromedial thalamus";"LightON";0,235857689132295;"171019";1
"8";"ventromedial thalamus";"Ongoing";0,108340427537083;"171207";2
"12";"ventromedial thalamus";"LightON";0,241402547581371;"171207";2
"17";"ventromedial thalamus";"Ongoing";0,180603213513953;"171208";2
"22";"ventromedial thalamus";"LightON";0,246278333707343;"171208";2
"24";"ventromedial thalamus";"Ongoing";0,36644745093069;"171213";2
"26";"ventromedial thalamus";"LightON";0,422296456519247;"171213";2
"30";"ventromedial thalamus";"Ongoing";0,345553761563967;"180110";2
"34";"ventromedial thalamus";"LightON";0,357434647894455;"180110";2
"37";"ventromedial thalamus";"Ongoing";0,19324996594811;"180111";2
"40";"ventromedial thalamus";"LightON";0,295874226778331;"180111";2
"44";"ventromedial thalamus";"Ongoing";0,236060170683994;"180131";1
"48";"ventromedial thalamus";"LightON";0,370734387403432;"180131";1
"52";"ventromedial thalamus";"Ongoing";0,244539782406765;"180221";2
"56";"ventromedial thalamus";"LightON";0,355342120204982;"180221";2
"61";"ventromedial thalamus";"Ongoing";0,148576503652605;"180228";2
"67";"ventromedial thalamus";"LightON";0,211004269755879;"180228";2
"82";"ventromedial thalamus";"Ongoing";0,122820033303708;"180419";1
"86";"ventromedial thalamus";"LightON";0,110972353830069;"180419";1
