animal,neuron_id,block,corner_hz,fw_ms,pp_ms,usable,region9,ei
day1,1,early,775.0,0.1837488609897043,0.6,True,VM-thalamus,E
day1,2,early,775.0,0.1986903220806791,0.55,True,VM-thalamus,E
day1,3,early,775.0,0.2328562719902514,0.55,True,VM-thalamus,E
day1,4,early,775.0,0.2159202665868974,0.5,True,VM-thalamus,E
day1,5,early,775.0,0.2215398910125593,0.55,True,VM-thalamus,E
day1,6,early,775.0,0.2335345956558683,0.35,True,VM-thalamus,I
day1,7,early,775.0,0.2201491118167435,0.6,True,VM-thalamus,E
day1,8,early,775.0,0.2182015602821188,0.55,True,VM-thalamus,E
day1,9,early,775.0,0.1699766047521173,0.3,True,VM-thalamus,I
day1,10,early,775.0,0.1781310456488942,0.6,True,VM-thalamus,E
day1,11,early,775.0,0.2165914819647259,0.55,True,VM-thalamus,E
day1,12,early,775.0,0.2083719948669234,0.55,True,VM-thalamus,E
day1,13,early,775.0,0.2111621431097511,0.55,True,VM-thalamus,E
day1,14,early,775.0,0.2268436006522371,0.5,True,VM-thalamus,E
day1,15,early,775.0,0.2510714185466607,0.55,True,VM-thalamus,E
day1,16,early,775.0,0.1671730826683738,0.35,True,VM-thalamus,I
day1,17,early,775.0,0.1963966755477969,0.6,True,VM-thalamus,E
day1,18,early,775.0,0.1778031134358695,0.5,True,VM-thalamus,E
day1,19,early,775.0,0.1886314699648338,0.4,True,VM-thalamus,I
day1,20,early,775.0,0.1644772332092159,0.75,True,VM-thalamus,E
day1,21,early,775.0,0.2066343555322536,0.4,True,VM-thalamus,I
day1,22,early,775.0,0.2206880692421865,0.5,True,VM-thalamus,E
day1,23,early,775.0,0.2318047341694289,0.6,True,VM-thalamus,E
day1,24,early,775.0,0.2147854013175063,0.55,True,VM-thalamus,E
day1,25,early,775.0,0.1699370616516017,0.45,True,VM-thalamus,I
day1,26,early,775.0,0.1882432296433698,0.65,True,VM-thalamus,E
day1,27,early,775.0,0.2047681988549289,0.45,True,VM-thalamus,E
day1,28,early,775.0,0.1551324533737123,0.3,True,VM-thalamus,I
day1,29,early,775.0,0.1849680291271123,0.4,True,VM-thalamus,I
day1,30,early,775.0,0.1877595535420663,0.55,True,VM-thalamus,E
day1,31,early,775.0,0.1820082142517914,0.35,True,VM-thalamus,I
day1,32,early,775.0,0.1830357608793591,0.6,True,VM-thalamus,E
day1,33,early,775.0,0.1613135456849207,0.3,True,VM-thalamus,I
day1,34,early,775.0,0.1841751387434548,0.4,True,VM-thalamus,I
day1,35,early,775.0,0.1374449818075927,0.3,True,VM-thalamus,I
day1,36,early,775.0,0.1761344845597452,0.6,True,VM-thalamus,E
day1,37,early,775.0,0.1361892439198506,0.3,True,VM-thalamus,I
day1,38,early,775.0,0.2067858610037053,0.35,True,VM-thalamus,I
day1,39,early,775.0,0.2366631270643044,0.65,True,VM-thalamus,E
day1,40,early,775.0,0.2366551808249213,0.6,True,VM-thalamus,E
day1,41,early,775.0,0.1578430876739851,0.3,True,VM-thalamus,I
day1,42,early,775.0,0.1708384957516774,0.35,True,VM-thalamus,I
