animal,neuron_id,region6,region9,region_raw
day1,1,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,2,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,3,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,4,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,5,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,6,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,7,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,8,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,9,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,10,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,11,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,12,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,13,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,14,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,15,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,16,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,17,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,18,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,19,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,20,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,21,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,22,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,23,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,24,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,25,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,26,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,27,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,28,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,29,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,30,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,31,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,32,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,33,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,34,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,35,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,36,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,37,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,38,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,39,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,40,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,41,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,42,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,43,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,44,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,45,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,46,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,47,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,48,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,49,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,50,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,51,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,52,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,53,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,54,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,55,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,56,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,57,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,58,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,59,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,60,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,61,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,62,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,63,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,64,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,65,VM-thalamus,VM-thalamus,ventromedial thalamus
day1,66,VM-thalamus,VM-thalamus,ventromedial thalamus
