animal,neuron_id,region6,region9,region_raw,allen_region,allen_acronym,AP_mm,ML_mm,DV_mm,ccf_ap_um,ccf_dv_um,ccf_ml_um,paxinos_region,ei,classifiable,pct_inh_animal
day1,1,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.268451037,3.594568771,6300,4595,5968,IAM thalamic nucleus,unclassified,False,1.6
day1,2,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.268451037,3.594568771,6300,4595,5968,IAM thalamic nucleus,unclassified,False,1.6
day1,3,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.272444945,3.571918192,6300,4572,5972,IAM thalamic nucleus,unclassified,False,1.6
day1,4,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.276438853,3.549267614,6300,4549,5976,IAM thalamic nucleus,unclassified,False,1.6
day1,5,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.304396209,3.390713566,6300,4391,6004,IAD thalamic nucleus,unclassified,False,1.6
day1,6,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.276438853,3.549267614,6300,4549,5976,IAM thalamic nucleus,unclassified,False,1.6
day1,7,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.276438853,3.549267614,6300,4549,5976,IAM thalamic nucleus,unclassified,False,1.6
day1,8,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.276438853,3.549267614,6300,4549,5976,IAM thalamic nucleus,unclassified,False,1.6
day1,9,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.276438853,3.549267614,6300,4549,5976,IAM thalamic nucleus,unclassified,False,1.6
day1,10,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanteromedial nucleus of the thalamus,IAM,-0.9,0.276438853,3.549267614,6300,4549,5976,IAM thalamic nucleus,unclassified,False,1.6
day1,11,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.180585059,4.092881494,6300,5093,5881,Nucleus reuniens (Re),unclassified,False,1.6
day1,12,VM-thalamus,VM-thalamus,ventromedial thalamus,Interanterodorsal nucleus of the thalamus,IAD,-0.9,0.296408393,3.436014723,6300,4436,5996,IAD thalamic nucleus,unclassified,False,1.6
day1,13,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.180585059,4.092881494,6300,5093,5881,Nucleus reuniens (Re),unclassified,False,1.6
day1,14,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-0.9,0.180585059,4.092881494,6300,5093,5881,Nucleus reuniens (Re),unclassified,False,1.6
