animal,region,n_neurons,units
171019,ventromedial thalamus,124,
171019,paraventricular hypothalamus,2,
171207,ventromedial thalamus,13,
171207,paraventricular hypothalamus,10,
171207,anterior hypothalamus,4,
171207,dorsomedial hypothalamus,4,
171208,ventromedial thalamus,13,
171208,ventromedial hypothalamus,7,
171208,paraventricular hypothalamus,3,
171208,dorsomedial hypothalamus,4,
171208,anterior hypothalamus,7,
171213,paraventricular hypothalamus,18,
171213,ventromedial thalamus,15,
180110,ventromedial thalamus,7,
180110,paraventricular hypothalamus,21,
180110,anterior hypothalamus,1,
180110,dorsomedial hypothalamus,6,
180111,ventromedial thalamus,20,
180111,paraventricular hypothalamus,1,
180111,ventromedial hypothalamus,3,
180131,ventromedial thalamus,9,
180131,posterior hypothalamus,11,
180131,dorsomedial hypothalamus,10,
180131,paraventricular hypothalamus,1,
180221,ventromedial thalamus,27,
180221,dorsomedial hypothalamus,17,
180221,paraventricular hypothalamus,7,
180221,ventromedial hypothalamus,3,
180228,ventromedial thalamus,7,
180228,posterior hypothalamus,18,
180228,dorsomedial hypothalamus,29,
180228,ventromedial hypothalamus,6,
180228,arcuate hypothalamus,9,
180228,zona incerta,10,
180302,posterior hypothalamus,14,
180302,mammillary complex,18,
180302,paraventricular hypothalamus,4,
180302,arcuate hypothalamus,7,
180302,dorsomedial hypothalamus,4,
180419,ventromedial hypothalamus,6,
180419,dorsomedial hypothalamus,35,
180419,ventromedial thalamus,5,
180419,posterior hypothalamus,15,
180420,dorsomedial hypothalamus,1,
180420,posterior hypothalamus,25,
180420,paraventricular hypothalamus,19,
180420,mammillary complex,26,
180423,ventromedial hypothalamus,4,
180423,dorsomedial hypothalamus,19,
180423,posterior hypothalamus,18,
180423,mammillary complex,15,
