animal,units,AP,ML,DV,region_paxinos,n_neurons,macro_region,further_agglomerate
171019,"1,2,3,4,5,6,7,8,9,10, 12, 16, 19, 21, 23, 24, 26, 31, 33,43, 44, 46, 48, 49, 51, 52, 53, 54, 80, 81, 82, 83, 84, 85, 86, 87, 88",0.9,0.27,3.55,interanteromedial thalamic nucleus,37,ventromedial thalamus,
171019,"11, 13, 14, 15, 17, 18, 20, 22, 25, 27, 28, 29, 30, 32, 34,35, 36, 37,38, 39, 40, 41, 42,45, 47, 50, 55, 56, 57, 58",0.9,0.18,4.1,reuniens thalamic nucleus,30,ventromedial thalamus,
171019,"59, 60, 61, 62, 66, 67, 68, 69, 70, 71, 72, 73, 74",1.3,0.3,3.4,mediodorsal thalamic nucleus,13,ventromedial thalamus,
171019,"63, 64, 65, 75, 76, 77, 78, 79, 95, 96, 97, 98, 99, 109, 110, 111, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126",1.3,0.2,4.0,submedius thalamic nucleus,26,ventromedial thalamus,
171019,"89, 90, 91, 92, 93, 94, 100, 101, 102, 103, 104, 105, 106, 107, 108, 112, 113, 114",1.1,0.3,3.35,central medial nucleus,18,ventromedial thalamus,
171019,"115, 116",1.1,0.07,4.7,"paraventricular hypothalamic area, medial, parvicellular part",2,paraventricular hypothalamus,
171207,"1,2,3, 12,13,28",1.0,0.3,4.2,reuniens thalamic nucleus,6,ventromedial thalamus,
171207,"4,5,11,14,15,16",1.0,0.2,4.85,"paraventricular hypothalamic area, medial, magnocellular part",6,paraventricular hypothalamus,
171207,"6,7",1.0,0.27,4.5,"paraventricular hypothalamic area, lateral magnocellular part",2,paraventricular hypothalamus,
171207,"8,9,10,17",1.0,0.15,5.1,anterior nucleus of hypothalamus,4,anterior hypothalamus,
171207,"18,23,24,25,26,27",1.4,0.3,4.2,submedius thalamic nucleus,6,ventromedial thalamus,
171207,"19,20,21,22",1.4,0.14,5.1,dorsomedial nucleus of hypothalamus,4,dorsomedial hypothalamus,
171207,"29, 30",1.2,0.22,4.7,"paraventricular hypothalamic nucleus, posterior",2,paraventricular hypothalamus,
