animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei
day1,1,0.24854611540209,0.7,True,0.0,E
day1,2,0.274045566502463,0.7,True,0.0,E
day1,3,0.3613095238095241,0.65,True,2.0,E
day1,4,0.30102657004830924,0.65,True,0.0,E
day1,5,0.318389423076923,0.65,True,2.0,E
day1,6,0.31476190476190485,0.75,True,2.0,E
day1,7,0.32980769230769236,0.75,True,2.0,E
day1,8,0.3133333333333333,0.7,True,2.0,E
day1,9,0.2209595959595962,0.7,True,0.0,E
day1,10,0.2545945945945949,0.7,True,0.0,E
day1,11,0.3140350877192983,0.7,True,2.0,E
day1,12,0.2789529914529915,0.8,True,4.0,E
day1,13,0.31093750000000003,0.7,True,2.0,E
day1,14,0.44583333333333325,0.55,True,2.0,E
day1,15,0.39714285714285713,0.75,True,2.0,E
day1,16,0.2553058510638298,0.8,True,4.0,E
day1,17,0.3077294685990335,0.8,True,4.0,E
day1,18,0.24838800904977346,0.65,True,0.0,E
day1,19,0.2695276497695851,0.8,True,4.0,E
day1,20,0.2288257575757573,0.8,True,1.0,E
day1,21,0.27060611643330856,0.8,True,4.0,E
day1,22,0.3363636363636363,0.7,True,2.0,E
day1,23,0.3199999999999999,0.75,True,2.0,E
day1,24,0.32258522727272737,0.75,True,2.0,E
day1,25,0.2674107142857142,0.9,True,4.0,E
day1,26,0.2793859649122805,0.75,True,4.0,E
day1,27,0.2800000000000001,0.85,True,4.0,E
day1,28,0.19572916666666665,0.7,True,1.0,E
day1,29,0.26804511278195486,0.75,True,4.0,E
day1,30,0.2791666666666668,0.55,True,0.0,E
day1,31,0.2586956521739129,0.75,True,4.0,E
day1,32,0.2735119047619048,0.8,True,4.0,E
day1,33,0.21052807486631017,0.75,True,1.0,E
day1,34,0.27053571428571427,0.8,True,4.0,E
day1,35,0.18930581613508438,0.75,True,1.0,E
day1,36,0.24213362068965516,0.7,True,0.0,E
day1,37,0.18376068376068383,0.85,True,1.0,E
day1,38,0.30101010101010106,0.7,True,0.0,E
day1,39,0.3649999999999999,0.8,True,2.0,E
day1,40,0.3520833333333332,0.8,True,2.0,E
day1,41,0.22333591331269353,0.8,True,1.0,E
day1,42,0.2386312217194572,0.9,True,4.0,E
day1,43,0.31111111111111106,0.85,True,4.0,E
day1,44,0.24041982323232317,0.8,True,4.0,E
day1,45,0.2597507331378299,0.9,True,4.0,E
day1,46,0.32976190476190476,0.75,True,2.0,E
day1,47,0.2564285714285713,0.75,True,4.0,E
day1,48,0.2635294117647056,0.85,True,4.0,E
day1,49,0.25424836601307205,0.65,True,0.0,E
day1,50,0.3349999999999998,0.75,True,2.0,E
day1,51,0.271875,0.85,True,4.0,E
day1,52,0.1970553265694356,0.7,True,1.0,E
day1,53,0.2903769841269842,0.8,True,4.0,E
day1,54,0.3535714285714285,0.75,True,2.0,E
day1,55,0.41041666666666676,0.75,True,2.0,E
day1,56,0.26472222222222225,0.85,True,4.0,E
day1,57,0.35882936507936486,0.8,True,2.0,E
day1,58,0.28327956989247305,0.75,True,4.0,E
day1,59,0.29659090909090935,0.75,True,4.0,E
day1,60,0.12655882352941178,0.3,True,3.0,I
day1,61,0.28312500000000007,0.9,True,4.0,E
day1,62,0.2515151515151516,0.9,True,4.0,E
day1,63,0.3375,0.85,True,2.0,E
day1,64,0.24122549019607825,0.65,True,0.0,E
day1,65,0.28671875,0.75,True,4.0,E
day1,66,0.24225806451612933,0.65,True,0.0,E
day1,67,0.2745614035087719,0.8,True,4.0,E
day1,68,0.23935661764705857,0.65,True,0.0,E
day1,69,0.26833333333333337,0.65,True,0.0,E
day1,70,0.3512152777777779,0.7,True,2.0,E
day1,71,0.35972222222222217,0.85,True,2.0,E
day1,72,0.2454861111111111,0.7,True,0.0,E
day1,73,0.24444444444444427,0.7,True,0.0,E
day1,74,0.2165441176470587,0.65,True,0.0,E
day1,75,0.334873949579832,0.85,True,2.0,E
day1,76,0.3528846153846153,0.8,True,2.0,E
day1,77,0.24544642857142843,0.75,True,0.0,E
day1,78,0.2407135627530362,0.85,True,4.0,E
day1,79,0.23157051282051277,0.85,True,1.0,E
day1,80,0.28468750000000004,0.65,True,0.0,E
day1,81,0.2489010989010989,0.8,True,4.0,E
day1,82,0.19714285714285715,0.9,True,1.0,E
day1,83,0.39909090909090883,0.75,True,2.0,E
day1,84,0.2,0.5,True,3.0,I
day1,85,0.2,1.7,True,5.0,E
day1,86,,1.05,False,,unclassified
day1,87,0.1,0.35,True,3.0,I
day1,88,0.24789624183006537,0.85,True,4.0,E
day1,89,0.24034090909090935,0.65,True,0.0,E
day1,90,0.2756302521008401,0.85,True,4.0,E
day1,91,0.290347222222222,0.75,True,4.0,E
day1,92,0.274537037037037,0.65,True,0.0,E
day1,93,0.269047619047619,0.8,True,4.0,E
day1,94,0.23314393939393946,0.7,True,0.0,E
day1,95,0.26394230769230764,0.8,True,4.0,E
day1,96,0.31750000000000006,0.85,True,4.0,E
day1,97,0.22519230769230772,0.6,True,0.0,E
day1,98,0.24700963718820895,0.65,True,0.0,E
day1,99,0.21750992063492058,0.8,True,1.0,E
day1,100,0.18929824561403485,0.95,True,1.0,E
day1,101,0.195851063829787,0.85,True,1.0,E
day1,102,0.26575757575757564,0.8,True,4.0,E
day1,103,0.24446022727272734,0.7,True,0.0,E
day1,104,0.23472222222222214,0.65,True,0.0,E
day1,105,0.22239906832298145,0.75,True,1.0,E
day1,106,0.34953125000000007,0.85,True,2.0,E
day1,107,0.18732638888888892,0.65,True,1.0,E
day1,108,0.325,0.75,True,2.0,E
day1,109,0.2107808857808859,0.8,True,1.0,E
day1,110,0.2666666666666668,0.8,True,4.0,E
day1,111,0.35312499999999997,0.75,True,2.0,E
day1,112,0.265625,0.8,True,4.0,E
day1,113,0.2957983193277311,0.75,True,4.0,E
day1,114,0.2721875000000001,0.75,True,4.0,E
day1,115,0.21072368421052623,0.75,True,1.0,E
day1,116,0.19424242424242413,0.7,True,1.0,E
day1,117,0.30892857142857155,0.75,True,2.0,E
day1,118,0.33958333333333324,0.7,True,2.0,E
day1,119,0.27031769102990033,0.65,True,0.0,E
day1,120,0.2523674242424242,0.7,True,0.0,E
day1,121,0.2680124223602487,0.7,True,0.0,E
day1,122,0.27316017316017316,0.7,True,0.0,E
day1,123,0.2875,0.7,True,0.0,E
day1,124,0.27995169082125604,0.8,True,4.0,E
day1,125,0.15265151515151487,0.35,True,3.0,I
day1,126,0.29097222222222213,0.7,True,0.0,E
day2,1,0.4758333333333333,0.75,True,2.0,E
day2,2,0.5041666666666668,0.9,True,2.0,E
day2,3,0.29404761904761895,0.95,True,2.0,E
