animal,condition,n_pairs,zero_lag_pct,median_abs_lag,mean_lag,asym_index,n_strong,strong_pct,strong_zero_lag_pct,strong_median_abs_lag,strong_short_lag_pct
day1,lightON,7601,2.9,24.0,-7.74,0.086,519,6.8,6.0,11.0,27.9
day1,ongoing_aligned,7549,3.0,23.0,-7.44,0.0888,523,6.9,5.7,11.0,28.5
day2,lightON,341,6.7,24.0,-12.39,0.0754,45,13.2,17.8,4.0,55.6
day2,ongoing_aligned,335,6.6,26.0,-12.88,0.0973,35,10.4,20.0,3.0,74.3
day3,lightON,639,3.9,29.0,-9.31,0.0567,26,4.1,7.7,14.0,23.1
day3,ongoing_aligned,607,2.8,27.0,-12.16,0.0588,24,4.0,12.5,12.5,25.0
day4,lightON,1574,3.9,28.5,-7.96,0.0732,81,5.1,19.8,9.0,39.5
day4,ongoing_aligned,1419,3.7,26.0,-8.62,0.0714,120,8.5,10.0,10.0,36.7
day5,lightON,2131,3.3,24.0,-9.6,0.0667,159,7.5,8.2,7.0,44.7
day5,ongoing_aligned,2047,3.8,24.0,-9.51,0.08,193,9.4,11.9,8.0,42.5
day6,lightON,1237,2.9,28.0,-9.59,0.0349,32,2.6,6.2,16.0,25.0
day6,ongoing_aligned,1184,2.7,28.0,-9.08,0.0366,36,3.0,5.6,15.5,19.4
night1,lightON,426,2.1,27.0,-8.43,0.0414,14,3.3,0.0,16.0,14.3
night1,ongoing_aligned,427,2.6,27.0,-8.74,0.0463,16,3.7,0.0,15.5,18.8
night2,lightON,381,2.4,27.0,-6.84,0.0533,19,5.0,0.0,12.0,42.1
night2,ongoing_aligned,406,2.0,26.0,-8.75,0.0558,20,4.9,5.0,9.5,35.0
night3,lightON,362,2.2,25.5,-12.59,0.099,35,9.7,8.6,9.0,20.0
night3,ongoing_aligned,365,1.6,30.0,-13.37,0.1148,31,8.5,0.0,9.0,12.9
night4,lightON,456,4.2,22.0,-7.7,0.0785,33,7.2,6.1,8.0,36.4
night4,ongoing_aligned,428,3.5,25.0,-7.82,0.1037,30,7.0,3.3,9.5,26.7
night5,lightON,234,2.6,25.0,-8.68,0.0668,14,6.0,0.0,5.0,57.1
night5,ongoing_aligned,238,4.6,25.0,-9.78,0.0695,27,11.3,0.0,11.0,33.3
night6,lightON,882,2.6,24.0,-8.94,0.1304,131,14.9,4.6,8.0,36.6
night6,ongoing_aligned,822,4.1,24.0,-10.44,0.1219,142,17.3,7.0,7.5,37.3
night7,lightON,2673,4.4,26.0,-6.85,0.0232,75,2.8,50.7,1.0,54.7
night7,ongoing_aligned,2655,4.7,26.0,-7.11,0.0263,93,3.5,36.6,9.0,44.1
