animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei,ei_old,classifiable
day1,1,0.24854611540209,0.7,True,0.0,E,unclassified,False
day1,2,0.274045566502463,0.7,True,0.0,E,unclassified,False
day1,3,0.3613095238095241,0.65,True,2.0,E,unclassified,False
day1,4,0.3010265700483092,0.65,True,0.0,E,unclassified,False
day1,5,0.318389423076923,0.65,True,2.0,E,unclassified,False
day1,6,0.3147619047619048,0.75,True,2.0,E,unclassified,False
day1,7,0.3298076923076923,0.75,True,2.0,E,unclassified,False
day1,8,0.3133333333333333,0.7,True,2.0,E,unclassified,False
day1,9,0.2209595959595962,0.7,True,0.0,E,unclassified,False
day1,10,0.2545945945945949,0.7,True,0.0,E,unclassified,False
day1,11,0.3140350877192983,0.7,True,2.0,E,unclassified,False
day1,12,0.2789529914529915,0.8,True,4.0,E,unclassified,False
day1,13,0.3109375,0.7,True,2.0,E,unclassified,False
day1,14,0.4458333333333332,0.55,True,2.0,E,unclassified,False
day1,15,0.3971428571428571,0.75,True,2.0,E,unclassified,False
day1,16,0.2553058510638298,0.8,True,4.0,E,unclassified,False
day1,17,0.3077294685990335,0.8,True,4.0,E,unclassified,False
day1,18,0.2483880090497734,0.65,True,0.0,E,unclassified,False
day1,19,0.2695276497695851,0.8,True,4.0,E,unclassified,False
day1,20,0.2288257575757573,0.8,True,1.0,E,unclassified,False
day1,21,0.2706061164333085,0.8,True,4.0,E,unclassified,False
day1,22,0.3363636363636363,0.7,True,2.0,E,unclassified,False
day1,23,0.3199999999999999,0.75,True,2.0,E,unclassified,False
day1,24,0.3225852272727273,0.75,True,2.0,E,unclassified,False
day1,25,0.2674107142857142,0.9,True,4.0,E,unclassified,False
day1,26,0.2793859649122805,0.75,True,4.0,E,unclassified,False
day1,27,0.2800000000000001,0.85,True,4.0,E,unclassified,False
day1,28,0.1957291666666666,0.7,True,1.0,E,unclassified,False
day1,29,0.2680451127819548,0.75,True,4.0,E,unclassified,False
day1,30,0.2791666666666668,0.55,True,0.0,E,unclassified,False
day1,31,0.2586956521739129,0.75,True,4.0,E,unclassified,False
day1,32,0.2735119047619048,0.8,True,4.0,E,unclassified,False
day1,33,0.2105280748663101,0.75,True,1.0,E,unclassified,False
day1,34,0.2705357142857142,0.8,True,4.0,E,unclassified,False
day1,35,0.1893058161350843,0.75,True,1.0,E,unclassified,False
day1,36,0.2421336206896551,0.7,True,0.0,E,unclassified,False
day1,37,0.1837606837606838,0.85,True,1.0,E,unclassified,False
day1,38,0.301010101010101,0.7,True,0.0,E,unclassified,False
day1,39,0.3649999999999999,0.8,True,2.0,E,unclassified,False
day1,40,0.3520833333333332,0.8,True,2.0,E,unclassified,False
day1,41,0.2233359133126935,0.8,True,1.0,E,unclassified,False
day1,42,0.2386312217194572,0.9,True,4.0,E,unclassified,False
day1,43,0.311111111111111,0.85,True,4.0,E,unclassified,False
day1,44,0.2404198232323231,0.8,True,4.0,E,unclassified,False
day1,45,0.2597507331378299,0.9,True,4.0,E,unclassified,False
day1,46,0.3297619047619047,0.75,True,2.0,E,unclassified,False
day1,47,0.2564285714285713,0.75,True,4.0,E,unclassified,False
day1,48,0.2635294117647056,0.85,True,4.0,E,unclassified,False
day1,49,0.254248366013072,0.65,True,0.0,E,unclassified,False
day1,50,0.3349999999999998,0.75,True,2.0,E,unclassified,False
day1,51,0.271875,0.85,True,4.0,E,unclassified,False
day1,52,0.1970553265694356,0.7,True,1.0,E,unclassified,False
day1,53,0.2903769841269842,0.8,True,4.0,E,unclassified,False
