animal,condition,pre,post,possible,edges,density_pct,frac_neg,median_w
day2,lightON,E,E,342,0,0.0,,
day2,lightON,E,I,228,10,4.386,0.9,-0.4719
day2,lightON,I,E,228,7,3.07,1.0,-0.6371
day2,lightON,I,I,132,16,12.121,1.0,-0.4344
day2,ongoing,E,E,342,0,0.0,,
day2,ongoing,E,I,228,9,3.947,1.0,-0.4055
day2,ongoing,I,E,228,10,4.386,1.0,-0.5121
day2,ongoing,I,I,132,18,13.636,0.9444,-0.3998
day3,lightON,E,E,506,16,3.162,0.9375,-0.6826
day3,lightON,E,I,552,21,3.804,1.0,-0.4309
day3,lightON,I,E,552,23,4.167,1.0,-0.4854
day3,lightON,I,I,552,19,3.442,1.0,-0.3936
day3,ongoing,E,E,506,10,1.976,0.9,-0.8735
day3,ongoing,E,I,552,20,3.623,1.0,-0.3883
day3,ongoing,I,E,552,25,4.529,1.0,-0.3889
day3,ongoing,I,I,552,25,4.529,1.0,-0.4006
day4,lightON,E,E,1190,66,5.546,0.9848,-0.6228
day4,lightON,E,I,910,46,5.055,0.9565,-0.558
day4,lightON,I,E,910,40,4.396,1.0,-0.5026
day4,lightON,I,I,650,35,5.385,0.8857,-0.5588
day4,ongoing,E,E,1190,58,4.874,0.9483,-0.558
day4,ongoing,E,I,910,51,5.604,0.8627,-0.3901
day4,ongoing,I,E,910,42,4.615,0.9048,-0.4375
day4,ongoing,I,I,650,30,4.615,0.9,-0.4536
day5,lightON,E,E,1560,63,4.038,1.0,-0.3832
day5,lightON,E,I,1240,22,1.774,0.9545,-0.5167
day5,lightON,I,E,1240,39,3.145,1.0,-0.5689
day5,lightON,I,I,930,13,1.398,1.0,-0.9094
day5,ongoing,E,E,1560,76,4.872,1.0,-0.4034
day5,ongoing,E,I,1240,32,2.581,1.0,-0.5175
day5,ongoing,I,E,1240,32,2.581,0.9688,-0.5451
day5,ongoing,I,I,930,11,1.183,1.0,-0.9607
day6,lightON,E,E,870,74,8.506,1.0,-0.4385
day6,lightON,E,I,780,85,10.897,1.0,-0.4384
day6,lightON,I,E,780,87,11.154,1.0,-0.4063
day6,lightON,I,I,650,78,12.0,1.0,-0.3838
day6,ongoing,E,E,870,69,7.931,1.0,-0.4187
day6,ongoing,E,I,780,76,9.744,1.0,-0.4189
day6,ongoing,I,E,780,87,11.154,1.0,-0.4232
day6,ongoing,I,I,650,81,12.462,1.0,-0.3918
night6,lightON,E,E,756,4,0.529,1.0,-0.6931
night6,lightON,E,I,728,8,1.099,1.0,-0.5077
night6,lightON,I,E,728,11,1.511,1.0,-0.781
night6,lightON,I,I,650,25,3.846,0.92,-1.0155
night6,ongoing,E,E,756,1,0.132,1.0,-0.5432
night6,ongoing,E,I,728,9,1.236,0.8889,-0.4308
night6,ongoing,I,E,728,20,2.747,1.0,-0.7569
night6,ongoing,I,I,650,26,4.0,0.9615,-0.8936
night7,lightON,E,E,2070,461,22.271,1.0,-0.378
night7,lightON,E,I,1518,275,18.116,1.0,-0.3861
night7,lightON,I,E,1518,261,17.194,1.0,-0.3872
night7,lightON,I,I,1056,151,14.299,1.0,-0.3929
night7,ongoing,E,E,2070,495,23.913,1.0,-0.382
night7,ongoing,E,I,1518,308,20.29,1.0,-0.395
night7,ongoing,I,E,1518,278,18.314,1.0,-0.3851
night7,ongoing,I,I,1056,163,15.436,1.0,-0.3926
