animal,condition,neuron_id,region,node_strength,clustering_coefficient,local_efficiency,hub_score,z_score,ei,spikes
day2,lightON,1,VM-thalamus,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,506
day2,lightON,2,VM-thalamus,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,675
day2,lightON,3,PH,-0.607106,0.0,0.0,-0.11659898764086,0.195098280234139,E,624
day2,lightON,4,VM-thalamus,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,85
day2,lightON,5,VM-thalamus,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,I,21
day2,lightON,6,VM-thalamus,-1.92095,1.0,0.401161,-0.302757112321056,-0.489523956358813,I,677
day2,lightON,7,DMH,-0.341528,0.0,0.0,-0.0655928603094149,0.333486554907451,E,1352
day2,lightON,8,DMH,-0.536296,0.0,0.0,-7.707666778892371e-19,0.231996192446812,I,515
day2,lightON,9,DMH,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,I,386
day2,lightON,10,DMH,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,413
day2,lightON,11,DMH,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,1199
day2,lightON,12,DMH,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,I,299
day2,lightON,13,PH,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,1038
day2,lightON,14,VM-thalamus,-0.831774,0.0,0.0,-0.159748061040393,0.0780275255243978,E,293
day2,lightON,15,VM-thalamus,-1.658759,1.0,0.433684666666667,-0.418045451303295,-0.352900591001477,E,1067
day2,lightON,16,VM-thalamus,0.0,0.0,0.0,-7.707666778892371e-19,0.511451110226893,E,378
day2,lightON,17,PVH,-3.947214,0.533333333333333,0.345179801464093,-0.398312183149294,-1.54537639516264,I,9061
day2,lightON,18,PH,1.803427,0.0,0.0,1.0,1.45118689793998,E,604
day2,lightON,19,PH,-1.340628,0.466666666666667,0.279935734549365,-0.144269484966778,-0.187127822887796,I,8958
day2,lightON,20,PH,-4.118792,0.333333333333333,0.235528434665488,-0.135221339212341,-1.63478283467155,E,2344
day2,lightON,21,PH,0.0,0.0,0.0,-6.387152481636651e-19,0.511451110226893,E,539
day2,lightON,22,PH,-0.637101,0.0,0.0,-6.387152481636651e-19,0.17946838506652,E,511
day2,lightON,23,PH,-2.506473,0.5,0.216842333333333,-0.317175142709842,-0.794630244347809,I,3163
day2,lightON,24,PH,0.0,0.0,0.0,-6.387152481636651e-19,0.511451110226893,I,612
day2,lightON,25,DMH,-1.18522,0.0,0.0,-0.11123733096481,-0.106147301193867,I,634
day2,lightON,26,VM-thalamus,-8.938582,0.115384615384615,0.0996215535242135,-0.57665155956539,-4.14629516772505,I,17628
day2,lightON,27,PH,0.0,0.0,0.0,-6.387152481636651e-19,0.511451110226893,E,298
day2,lightON,28,DMH,-2.1134,0.0,0.0,-0.286198137686216,-0.589806447607632,I,990
day2,lightON,29,PH,-1.546568,1.0,0.433684666666667,-0.366155701180926,-0.294439728566059,E,1933
day2,lightON,30,DMH,0.0,0.0,0.0,-1.27743049632733e-18,0.511451110226893,E,224
day2,lightON,31,DMH,0.0,0.0,0.0,-1.27743049632733e-18,0.511451110226893,E,186
day2,ongoing,1,VM-thalamus,-1.319543,1.0,0.437678,0.0620447221533667,-0.119133166333047,E,6479
day2,ongoing,2,VM-thalamus,-0.475397,0.0,0.0,-4.2302709528370895e-18,0.270318329316541,E,9179
day2,ongoing,3,PH,-0.592309,0.0,0.0,-4.2302709528370895e-18,0.21638032183989,E,9303
day2,ongoing,4,VM-thalamus,0.0,0.0,0.0,-4.2302709528370895e-18,0.489645403871567,E,1421
day2,ongoing,5,VM-thalamus,0.0,0.0,0.0,-4.2302709528370895e-18,0.489645403871567,I,499
day2,ongoing,6,VM-thalamus,-0.558511,0.0,0.0,-4.2302709528370895e-18,0.231973218862401,I,8643
day2,ongoing,7,DMH,-1.295057,1.0,0.409717,0.153337122003288,-0.107836412782742,E,15237
day2,ongoing,8,DMH,0.94322,1.0,0.437678,0.23510187779184,0.924805245565545,I,9399
day2,ongoing,9,DMH,0.0,0.0,0.0,-4.2302709528370895e-18,0.489645403871567,I,7574
day2,ongoing,10,DMH,0.0,0.0,0.0,-4.2302709528370895e-18,0.489645403871567,E,7421
day2,ongoing,11,DMH,-0.460938,0.0,0.0,0.129004189547534,0.276989070131041,E,15311
day2,ongoing,12,DMH,-2.253144,1.0,0.409717,0.196196985192807,-0.549855228381497,I,6343
day2,ongoing,13,PH,-0.405538,0.0,0.0,0.113499214689889,0.302548171114742,E,9901
