animal,condition,neuron_id,ei,n_out,frac_neg,median_w,spikes
day2,lightON,3,E,1,1.0,-0.607106,624
day2,lightON,6,I,1,1.0,-1.304825,677
day2,lightON,7,E,1,1.0,-0.341528,1352
day2,lightON,14,E,1,1.0,-0.831774,293
day2,lightON,15,E,2,1.0,-0.5081559999999999,1067
day2,lightON,17,I,4,1.0,-0.4385865,9061
day2,lightON,18,E,1,0.0,1.803427,604
day2,lightON,19,I,3,1.0,-0.323694,8958
day2,lightON,20,E,2,1.0,-0.410871,2344
day2,lightON,23,I,4,1.0,-0.42226050000000004,3163
day2,lightON,25,I,1,1.0,-0.579189,634
day2,lightON,26,I,9,1.0,-0.473409,17628
day2,lightON,28,I,1,1.0,-1.233459,990
day2,lightON,29,E,2,1.0,-0.5365795,1933
day2,ongoing,1,E,1,1.0,-0.595544,6479
day2,ongoing,7,E,2,1.0,-0.3960485,15237
day2,ongoing,8,I,1,1.0,-0.84003,9399
day2,ongoing,11,E,1,1.0,-0.460938,15311
day2,ongoing,12,I,1,1.0,-0.701021,6343
day2,ongoing,13,E,1,1.0,-0.405538,9901
day2,ongoing,17,I,7,1.0,-0.449434,97837
day2,ongoing,19,I,6,0.8333333333333334,-0.3550545,119396
day2,ongoing,20,E,2,1.0,-0.3369045,40061
day2,ongoing,21,E,1,1.0,-0.760048,7668
day2,ongoing,23,I,1,1.0,-0.312583,36128
day2,ongoing,26,I,11,1.0,-0.475397,184685
day2,ongoing,28,I,1,1.0,-0.415738,9435
day2,ongoing,29,E,1,1.0,-0.398542,8758
day3,lightON,1,I,1,1.0,-0.725771,431
day3,lightON,2,E,1,1.0,-0.706483,2050
day3,lightON,4,E,1,1.0,-0.328665,2176
day3,lightON,5,E,4,1.0,-0.6353059999999999,2619
day3,lightON,9,I,4,1.0,-0.5471604999999999,3646
day3,lightON,14,E,6,1.0,-0.5136855,3719
day3,lightON,18,E,1,1.0,-0.33701,1773
day3,lightON,20,I,5,1.0,-0.59111,2528
day3,lightON,21,E,2,1.0,-0.8166625,1136
day3,lightON,22,E,2,1.0,-0.5656005,2272
day3,lightON,26,I,3,1.0,-0.452182,6185
day3,lightON,27,E,4,1.0,-0.48982499999999995,3428
day3,lightON,29,I,2,1.0,-0.6576955,3640
day3,lightON,30,I,18,1.0,-0.33721049999999997,23525
day3,lightON,31,E,1,1.0,-0.241498,3538
day3,lightON,32,E,2,1.0,-0.7567444999999999,1424
day3,lightON,33,I,2,1.0,-0.7575985000000001,2909
day3,lightON,34,I,2,1.0,-0.464514,2380
day3,lightON,37,I,3,1.0,-0.726081,1615
day3,lightON,38,E,2,1.0,-0.39827500000000005,3905
day3,lightON,39,E,2,1.0,-0.615229,2203
day3,lightON,40,I,2,1.0,-0.8705275000000001,1392
day3,lightON,43,E,6,0.8333333333333334,-0.44220400000000004,5399
day3,lightON,45,E,1,1.0,-1.170108,755
day3,lightON,46,E,2,1.0,-0.8907970000000001,1008
day3,ongoing,2,E,4,1.0,-0.549002,21947
day3,ongoing,4,E,2,1.0,-0.5734954999999999,26555
day3,ongoing,5,E,1,1.0,-0.293317,22886
day3,ongoing,9,I,6,1.0,-0.4691115,44127
day3,ongoing,14,E,2,1.0,-0.734696,46412
day3,ongoing,18,E,3,1.0,-0.965003,18168
day3,ongoing,19,I,1,1.0,-0.585325,4407
day3,ongoing,20,I,2,1.0,-0.876057,31869
day3,ongoing,21,E,1,1.0,-0.888466,10763
day3,ongoing,22,E,4,1.0,-0.57179,25527
day3,ongoing,26,I,7,1.0,-0.402327,55380
day3,ongoing,27,E,1,1.0,-0.343618,49064
day3,ongoing,29,I,3,1.0,-0.856435,10916
day3,ongoing,30,I,22,1.0,-0.367688,183822
day3,ongoing,31,E,2,1.0,-0.9752354999999999,28227
day3,ongoing,33,I,3,1.0,-0.713577,25320
day3,ongoing,34,I,1,1.0,-0.246694,24784
day3,ongoing,36,I,1,1.0,-0.469158,7383
day3,ongoing,37,I,1,1.0,-0.366254,16318
day3,ongoing,38,E,2,1.0,-0.5341675,26462
day3,ongoing,39,E,1,1.0,-0.351109,20497
day3,ongoing,43,E,3,0.6666666666666666,-0.399066,74743
day3,ongoing,45,E,1,1.0,-0.396071,7817
day3,ongoing,46,E,3,1.0,-1.068187,11181
day3,ongoing,47,I,3,1.0,-0.933441,13843
day4,lightON,1,I,2,1.0,-0.550847,2199
day4,lightON,4,I,6,1.0,-0.513279,5092
day4,lightON,5,I,1,1.0,-0.913105,934
day4,lightON,6,I,3,1.0,-0.850116,1918
day4,lightON,7,I,1,1.0,-1.089496,1420
day4,lightON,9,I,3,1.0,-0.372666,3103
day4,lightON,12,E,4,1.0,-0.8381845,1995
day4,lightON,14,E,2,1.0,-0.8080814999999999,2999
day4,lightON,16,I,3,1.0,-0.643404,1903
day4,lightON,17,I,2,1.0,-1.22913,2852
day4,lightON,18,E,3,1.0,-1.00851,1428
day4,lightON,19,I,3,1.0,-0.869572,1944
day4,lightON,20,I,4,0.75,-0.8740815000000001,1856
day4,lightON,21,E,10,0.9,-0.5737675,4892
day4,lightON,22,I,4,1.0,-0.6089025,2993
day4,lightON,23,E,4,1.0,-0.8714759999999999,3235
day4,lightON,24,E,1,1.0,-0.858251,599
day4,lightON,26,E,3,1.0,-0.816242,2180
day4,lightON,28,E,4,1.0,-0.510837,5704
day4,lightON,29,E,4,1.0,-1.006179,1376
day4,lightON,30,E,3,1.0,-0.992454,1800
day4,lightON,31,E,6,1.0,-1.045234,3730
day4,lightON,33,I,1,1.0,-1.140173,313
day4,lightON,34,I,1,1.0,-0.863734,552
day4,lightON,35,E,1,1.0,-0.903827,1097
day4,lightON,36,E,1,1.0,-0.879222,466
day4,lightON,38,E,20,1.0,-0.3698715,12766
day4,lightON,40,E,8,1.0,-0.7000964999999999,3598
day4,lightON,41,I,1,1.0,-0.753668,381
day4,lightON,42,I,1,1.0,-0.977838,867
day4,lightON,43,I,20,0.95,-0.3896425,14500
day4,lightON,46,E,7,1.0,-0.605674,4361
day4,lightON,47,I,4,0.5,0.219024,1620
day4,lightON,48,I,15,1.0,-0.471839,12684
day4,lightON,50,E,10,0.8,-0.6130720000000001,3209
day4,lightON,52,E,5,1.0,-0.581796,2267
day4,lightON,53,E,2,1.0,-0.9581045,2194
day4,lightON,54,E,7,1.0,-0.462742,7855
day4,lightON,57,E,3,1.0,-0.526424,2910
day4,lightON,60,E,4,1.0,-0.927289,2933
day4,ongoing,1,I,2,1.0,-0.633633,18346
day4,ongoing,3,I,1,1.0,-0.783812,12374
day4,ongoing,4,I,10,1.0,-0.464559,57490
day4,ongoing,6,I,2,1.0,-0.645321,24196
day4,ongoing,7,I,2,1.0,-0.7256555,33368
day4,ongoing,9,I,3,1.0,-0.57755,38323
day4,ongoing,12,E,2,1.0,-0.78452,34170
day4,ongoing,13,E,1,0.0,4.176735,4804
day4,ongoing,14,E,3,0.6666666666666666,-0.472243,26800
day4,ongoing,16,I,2,1.0,-0.7076085,15000
day4,ongoing,17,I,1,1.0,-0.373983,24140
day4,ongoing,18,E,3,1.0,-0.951345,13184
day4,ongoing,19,I,2,0.5,0.47596099999999997,12854
day4,ongoing,20,I,4,0.5,0.9661875,21310
day4,ongoing,21,E,7,0.8571428571428571,-0.354954,52622
day4,ongoing,22,I,4,1.0,-0.4847545,22142
day4,ongoing,23,E,5,1.0,-0.878077,37216
day4,ongoing,26,E,2,1.0,-0.925085,35621
day4,ongoing,27,E,1,1.0,-0.754007,5802
day4,ongoing,28,E,4,1.0,-0.496293,37098
day4,ongoing,29,E,2,1.0,-1.1179885,25159
day4,ongoing,30,E,4,1.0,-0.473292,18595
day4,ongoing,31,E,6,1.0,-0.5820255,43790
day4,ongoing,32,E,1,1.0,-0.679722,17629
day4,ongoing,33,I,1,1.0,-1.013631,7135
day4,ongoing,35,E,1,1.0,-1.101767,10062
day4,ongoing,36,E,1,1.0,-0.951906,6906
day4,ongoing,37,E,1,1.0,-0.622693,12110
day4,ongoing,38,E,20,1.0,-0.344615,129563
day4,ongoing,40,E,4,1.0,-0.763075,27770
day4,ongoing,42,I,1,1.0,-0.969546,14470
day4,ongoing,43,I,20,0.9,-0.3778435,139093
day4,ongoing,45,E,1,0.0,3.4428,17831
day4,ongoing,46,E,6,0.6666666666666666,-0.23075099999999998,35744
day4,ongoing,47,I,3,0.3333333333333333,2.283037,13094
day4,ongoing,48,I,14,1.0,-0.4330155,129336
day4,ongoing,49,E,1,0.0,4.142093,20442
day4,ongoing,50,E,6,0.5,0.30168799999999996,34416
day4,ongoing,51,E,1,1.0,-1.581549,21458
day4,ongoing,53,E,9,1.0,-0.562047,30087
day4,ongoing,54,E,10,1.0,-0.4737025,49632
day4,ongoing,57,E,5,1.0,-0.436772,38685
day4,ongoing,60,E,2,1.0,-0.5790525,14551
day5,lightON,1,E,14,1.0,-0.356109,9642
day5,lightON,2,E,9,1.0,-0.414116,5808
day5,lightON,4,I,3,1.0,-0.436969,2041
day5,lightON,5,I,2,1.0,-0.5219985,1208
day5,lightON,6,I,3,1.0,-0.92132,1024
day5,lightON,7,I,1,1.0,-1.147645,538
day5,lightON,10,E,10,1.0,-0.377403,7304
day5,lightON,11,I,8,1.0,-0.5618445,3624
day5,lightON,18,I,1,1.0,-1.02743,852
day5,lightON,19,I,1,1.0,-0.668676,1503
day5,lightON,21,E,1,1.0,-0.406987,3578
day5,lightON,26,E,1,1.0,-1.119524,404
day5,lightON,28,I,2,1.0,-1.002435,731
day5,lightON,29,I,4,1.0,-0.510887,2246
day5,lightON,30,I,2,1.0,-0.5110435,1466
day5,lightON,31,I,1,1.0,-0.932157,381
day5,lightON,32,E,1,1.0,-0.974931,641
day5,lightON,35,E,3,1.0,-0.643231,2322
day5,lightON,36,E,5,1.0,-0.521124,2062
day5,lightON,38,E,1,1.0,-0.955764,1412
day5,lightON,41,I,1,1.0,-0.638644,771
day5,lightON,44,E,3,1.0,-0.305781,3933
day5,lightON,46,E,6,1.0,-0.441333,5152
day5,lightON,47,E,2,1.0,-0.5742775,710
day5,lightON,48,E,8,0.875,-0.35642399999999996,7383
day5,lightON,49,I,5,1.0,-0.624712,2328
day5,lightON,50,E,5,1.0,-0.869305,2813
day5,lightON,51,I,4,1.0,-0.9149305000000001,2674
day5,lightON,52,I,2,1.0,-0.727223,2177
day5,lightON,53,I,2,1.0,-0.675191,1463
day5,lightON,56,E,1,1.0,-0.747692,731
day5,lightON,60,E,1,1.0,-0.910365,693
day5,lightON,62,I,6,1.0,-0.5160845000000001,3751
day5,lightON,63,E,13,1.0,-0.328409,9998
day5,lightON,64,I,1,1.0,-0.991468,1485
day5,lightON,66,E,1,1.0,-0.369377,1714
day5,lightON,68,I,2,1.0,-0.8977120000000001,1827
day5,lightON,70,I,1,1.0,-1.192207,333
day5,ongoing,1,E,25,1.0,-0.434622,140598
day5,ongoing,2,E,9,1.0,-0.397924,50218
day5,ongoing,4,I,1,1.0,-0.42323,22612
day5,ongoing,5,I,1,1.0,-0.75648,12402
day5,ongoing,6,I,3,1.0,-0.924126,11748
day5,ongoing,7,I,1,1.0,-1.234064,5828
day5,ongoing,10,E,10,1.0,-0.446085,83589
day5,ongoing,11,I,6,1.0,-0.4956025,46076
day5,ongoing,17,I,1,1.0,-1.063232,9460
day5,ongoing,19,I,1,1.0,-0.949751,14699
day5,ongoing,20,I,1,1.0,-0.850481,4650
day5,ongoing,21,E,4,1.0,-0.35745150000000003,46795
day5,ongoing,26,E,2,1.0,-1.136072,5173
day5,ongoing,28,I,1,1.0,-1.01722,9558
day5,ongoing,29,I,3,1.0,-0.447005,21704
day5,ongoing,30,I,3,0.6666666666666666,-0.683323,18852
day5,ongoing,32,E,1,1.0,-0.65169,7573
day5,ongoing,33,E,1,1.0,-1.029466,5413
day5,ongoing,35,E,2,1.0,-1.0040835000000001,32955
day5,ongoing,36,E,3,1.0,-0.522425,37242
day5,ongoing,38,E,2,1.0,-0.8545485,19539
day5,ongoing,40,E,1,1.0,-0.910997,5063
day5,ongoing,41,I,3,1.0,-1.224189,10082
day5,ongoing,43,E,1,1.0,-0.662213,9599
day5,ongoing,44,E,5,1.0,-0.315543,55115
day5,ongoing,46,E,11,1.0,-0.328497,61833
day5,ongoing,47,E,3,1.0,-0.730866,9068
day5,ongoing,48,E,7,1.0,-0.319253,70888
day5,ongoing,49,I,7,1.0,-0.526542,28828
day5,ongoing,50,E,4,1.0,-0.588221,31885
day5,ongoing,51,I,3,1.0,-0.360969,31767
day5,ongoing,52,I,2,1.0,-0.6714415,15675
day5,ongoing,53,I,2,1.0,-0.4736265,14004
day5,ongoing,57,E,1,1.0,-1.057907,10346
day5,ongoing,60,E,1,1.0,-0.853162,7064
day5,ongoing,62,I,1,1.0,-0.312114,37844
day5,ongoing,63,E,14,1.0,-0.42131,138640
day5,ongoing,66,E,1,1.0,-0.662495,31569
day5,ongoing,68,I,3,1.0,-0.581148,23768
day6,lightON,3,I,1,1.0,-1.016838,551
day6,lightON,4,I,6,1.0,-0.46941350000000004,2898
day6,lightON,5,E,1,1.0,-0.901558,199
day6,lightON,6,E,7,1.0,-0.486447,3334
day6,lightON,7,E,3,1.0,-0.45939,1471
day6,lightON,8,I,2,1.0,-0.9144185,1671
day6,lightON,9,E,5,1.0,-0.468818,3438
day6,lightON,10,E,7,1.0,-0.422972,4220
day6,lightON,11,E,8,1.0,-0.509118,4685
day6,lightON,12,I,2,1.0,-0.6492725,916
day6,lightON,13,E,1,1.0,-0.988663,178
day6,lightON,14,I,31,1.0,-0.3768,20700
day6,lightON,17,E,15,1.0,-0.414881,7558
day6,lightON,18,E,4,1.0,-0.513446,2370
day6,lightON,19,I,2,1.0,-1.140239,1081
day6,lightON,21,E,18,1.0,-0.4147975,6469
day6,lightON,23,E,5,1.0,-0.799498,2540
day6,lightON,24,E,5,1.0,-0.753901,922
day6,lightON,26,I,26,1.0,-0.36066750000000003,17400
day6,lightON,28,E,4,1.0,-0.3494605,1072
day6,lightON,29,I,7,1.0,-0.361871,4957
day6,lightON,30,E,16,1.0,-0.3992555,6968
day6,lightON,31,I,2,1.0,-1.0167225,657
day6,lightON,32,I,5,1.0,-0.375177,4723
day6,lightON,33,E,1,1.0,-0.553665,715
day6,lightON,35,I,4,1.0,-0.8421285000000001,1148
day6,lightON,36,E,10,1.0,-0.7353135,4419
day6,lightON,37,E,3,1.0,-0.51298,1165
day6,lightON,38,I,3,1.0,-0.591186,1711
day6,lightON,39,E,8,1.0,-0.5133705,2835
day6,lightON,40,I,14,1.0,-0.406538,5358
day6,lightON,41,I,4,1.0,-0.372601,1985
day6,lightON,43,E,1,1.0,-0.887555,819
day6,lightON,46,E,23,1.0,-0.372644,12997
day6,lightON,47,I,8,1.0,-0.460983,3296
day6,lightON,48,I,9,1.0,-0.398571,5497
day6,lightON,49,I,10,1.0,-0.46926599999999996,3564
day6,lightON,50,I,9,1.0,-0.383403,4990
day6,lightON,51,I,6,1.0,-0.635506,1918
day6,lightON,52,I,14,1.0,-0.43595249999999997,4557
day6,lightON,53,E,7,1.0,-0.410165,3685
day6,lightON,55,E,2,1.0,-0.8330550000000001,715
day6,lightON,56,E,5,1.0,-0.434372,3035
day6,ongoing,2,I,3,1.0,-0.489065,19089
day6,ongoing,3,I,1,1.0,-0.595173,5643
