animal,condition,ei,n_units,median_spikes,mean_spikes
day2,lightON,E,19,539.0,751.0
day2,lightON,I,12,655.5,3578.6666666666665
day2,ongoing,E,19,8648.0,9514.473684210527
day2,ongoing,I,12,9395.5,41351.083333333336
day3,lightON,E,23,1424.0,1714.0
day3,lightON,I,24,525.5,2307.75
day3,ongoing,E,23,16928.0,19421.130434782608
day3,ongoing,I,24,10811.0,21571.375
day4,lightON,E,35,1800.0,2386.2
day4,lightON,I,26,1211.5,2358.6153846153848
day4,ongoing,E,35,20442.0,25371.02857142857
day4,ongoing,I,26,13782.0,24897.884615384617
day5,lightON,E,40,651.5,1932.65
day5,lightON,I,31,771.0,1193.2903225806451
day5,ongoing,E,40,8177.5,24135.875
day5,ongoing,I,31,9460.0,12816.677419354839
day6,lightON,E,30,1318.0,2618.1
day6,lightON,I,26,1814.5,3532.6923076923076
day6,ongoing,E,30,21869.0,29503.766666666666
day6,ongoing,I,26,20345.5,40676.346153846156
night6,lightON,E,28,410.5,880.9642857142857
night6,lightON,I,26,484.5,1779.923076923077
night6,ongoing,E,28,5548.0,10503.07142857143
night6,ongoing,I,26,7185.0,26122.03846153846
night7,lightON,E,46,2642.5,4732.891304347826
night7,lightON,I,33,1795.0,3847.2727272727275
night7,ongoing,E,46,30897.0,48689.36956521739
night7,ongoing,I,33,20067.0,40076.333333333336
