animal,old_id,status,n_units,lightON_window_s,lightON_period_s,lightON_duty_pct,n_windows,gapped_duty_pct,spikes_kept,spikes_total,gapped_rate_hz,nonzero,neg_pct,median_w,elapsed_s,note
day1,171019,ok,126,9.98,90.0,8.7,198,11.1,244882,2238378,0.983,15740,0.0,1.9329,12.5,
day2,180131,ok,31,9.97,90.0,9.7,188,11.1,72356,676988,1.246,878,0.0,3.9503,2.9,
day3,180302,ok,47,9.98,90.0,10.4,180,11.1,103089,964399,1.221,1783,0.2,2.8508,3.3,
day4,180419,ok,61,9.99,90.0,9.3,193,11.2,162135,1535331,1.379,3584,0.0,2.0524,5.8,
day5,180420,ok,71,9.98,90.0,9.7,186,11.1,154037,1362752,1.169,4922,0.0,2.7776,7.7,
day6,180423,ok,56,9.99,90.0,9.8,187,11.1,225146,1942698,2.152,3031,0.0,1.5039,10.3,
night1,171207,ok,31,9.97,90.0,10.0,188,11.1,79251,748756,1.364,930,0.0,1.8097,1.5,
night2,171208,ok,34,9.96,90.0,9.5,190,11.1,66581,585619,1.035,1099,0.0,2.1058,1.5,
night3,171213,ok,33,9.59,89.9,8.8,201,10.7,30042,276920,0.472,1042,0.0,3.7896,0.6,
night4,180110,ok,35,9.83,90.0,9.9,198,10.9,43724,388943,0.642,1117,0.1,2.6198,0.8,
night5,180111,ok,24,9.93,90.0,9.3,207,11.1,45702,406608,0.926,532,0.0,2.1613,0.8,
night6,180221,ok,54,9.97,90.0,9.7,192,11.1,108498,973259,1.05,2702,0.0,4.4676,3.7,
night7,180228,ok,79,9.99,90.0,8.0,220,11.1,416051,3562230,2.396,5925,0.1,1.1592,166.8,
