"animal","day_night","neuron_id","region","strength","betweenness","eigenvector","pagerank"
"day1","D",1,"VM-thalamus",2246.601978,8468,1,0.0179554087275984
"day1","D",2,"VM-thalamus",1392.649519,0,0.673334218881388,0.0115872617192112
"day1","D",3,"VM-thalamus",881.386196999999,0,0.469775015122393,0.00776558749334449
"day1","D",4,"VM-thalamus",1286.84598,0,0.64151083142331,0.0108053074682287
"day1","D",5,"VM-thalamus",461.720119,0,0.230162113470336,0.00462746001896819
"day1","D",6,"VM-thalamus",1015.252401,0,0.529449321962766,0.00859194362591101
"day1","D",7,"VM-thalamus",747.318365,0,0.392667944300515,0.00670778262243745
"day1","D",8,"VM-thalamus",476.266281,0,0.235752950273197,0.00439212714803306
"day1","D",9,"VM-thalamus",557.881728,0,0.292646023094007,0.00498943344845836
"day1","D",10,"VM-thalamus",1230.556961,0,0.615701274549186,0.0102710660416018
"day1","D",11,"VM-thalamus",1453.015134,0,0.700403981003023,0.0119190945973904
"day1","D",12,"VM-thalamus",1212.49179,0,0.615430818296722,0.0104642515596323
"day1","D",13,"VM-thalamus",552.698549,0,0.297644030830693,0.00531518616581388
"day1","D",14,"VM-thalamus",1945.755635,158,0.873784043143417,0.0157900801287216
"day1","D",15,"VM-thalamus",1175.642432,0,0.602485692101597,0.00973243452172786
"day1","D",16,"VM-thalamus",1836.728151,1,0.839372566603263,0.0150629954065629
"day1","D",17,"VM-thalamus",1115.653943,0,0.572161830319328,0.00942479136341375
"day1","D",18,"VM-thalamus",969.402069999999,0,0.517527543879929,0.00816613592952625
"day1","D",19,"VM-thalamus",611.963435,0,0.316280120341602,0.00490640740402239
"day1","D",20,"VM-thalamus",476.728833,0,0.240432217335045,0.00382418630546735
"day1","D",21,"VM-thalamus",808.472569,0,0.436027958072664,0.00779547467561368
"day1","D",22,"VM-thalamus",733.031248,0,0.396798106467157,0.00734496810122061
"day1","D",23,"VM-thalamus",1395.027665,0,0.675368191302879,0.0113447875303512
"day1","D",24,"VM-thalamus",1130.336392,0,0.581706445418058,0.00975607140157155
"day1","D",25,"VM-thalamus",438.308389,0,0.213642051059552,0.00454881887462538
"day1","D",26,"VM-thalamus",2007.240719,96,0.913481135884565,0.0158729636848351
"day1","D",27,"VM-thalamus",720.03097,0,0.386030813442015,0.00641489154321448
"day1","D",28,"VM-thalamus",1790.356622,0,0.832487060423453,0.0147444618116545
"day1","D",29,"VM-thalamus",756.043727,0,0.410165110656351,0.00635212192969298
"day1","D",30,"VM-thalamus",1028.109153,0,0.529283708841504,0.00846322172945371
"day1","D",31,"VM-thalamus",564.373773,0,0.287686816218301,0.00519697468304421
"day1","D",32,"VM-thalamus",468.107741,0,0.230323861280269,0.00417690458152953
"day1","D",33,"VM-thalamus",819.910211,0,0.442055887937237,0.00727770671401665
"day1","D",34,"VM-thalamus",896.742896,0,0.473601150617503,0.00761130170321063
"day1","D",35,"VM-thalamus",509.669644,0,0.265298707305925,0.00440940019346342
"day1","D",36,"VM-thalamus",620.193844,0,0.316585853610753,0.0053954384892278
"day1","D",37,"VM-thalamus",1218.225485,0,0.614193879344821,0.00977326493243333
"day1","D",38,"VM-thalamus",712.364838,0,0.376588777908587,0.00599204255029746
"day1","D",39,"VM-thalamus",457.516832,0,0.225968678541387,0.00443343132311546
"day1","D",40,"VM-thalamus",648.270367,0,0.34462822462052,0.00562279644458952
"day1","D",41,"VM-thalamus",654.106201,0,0.338769941364864,0.00638362969091425
"day1","D",42,"VM-thalamus",486.207372,0,0.244399083810349,0.0049262026598223
"day1","D",43,"VM-thalamus",1256.834799,0,0.637551738198933,0.0108288110578026
"day1","D",44,"VM-thalamus",871.656738,0,0.4660329845981,0.00825108090467454
"day1","D",45,"VM-thalamus",482.246121,0,0.243658269183692,0.00426041733578028
"day1","D",46,"VM-thalamus",936.910566,0,0.49810938527697,0.00802670336091849
