"animal","day_night","neuron_id","region","community"
"day1","D",1,"VM-thalamus",1
"day1","D",2,"VM-thalamus",1
"day1","D",3,"VM-thalamus",1
"day1","D",4,"VM-thalamus",1
"day1","D",5,"VM-thalamus",2
"day1","D",6,"VM-thalamus",2
"day1","D",7,"VM-thalamus",2
"day1","D",8,"VM-thalamus",2
"day1","D",9,"VM-thalamus",2
"day1","D",10,"VM-thalamus",1
"day1","D",11,"VM-thalamus",1
"day1","D",12,"VM-thalamus",1
"day1","D",13,"VM-thalamus",1
"day1","D",14,"VM-thalamus",1
"day1","D",15,"VM-thalamus",1
"day1","D",16,"VM-thalamus",1
"day1","D",17,"VM-thalamus",1
"day1","D",18,"VM-thalamus",1
"day1","D",19,"VM-thalamus",2
"day1","D",20,"VM-thalamus",2
"day1","D",21,"VM-thalamus",2
"day1","D",22,"VM-thalamus",1
"day1","D",23,"VM-thalamus",1
"day1","D",24,"VM-thalamus",1
"day1","D",25,"VM-thalamus",2
"day1","D",26,"VM-thalamus",1
"day1","D",27,"VM-thalamus",2
"day1","D",28,"VM-thalamus",1
"day1","D",29,"VM-thalamus",2
"day1","D",30,"VM-thalamus",2
"day1","D",31,"VM-thalamus",2
"day1","D",32,"VM-thalamus",2
"day1","D",33,"VM-thalamus",1
"day1","D",34,"VM-thalamus",2
"day1","D",35,"VM-thalamus",2
"day1","D",36,"VM-thalamus",2
"day1","D",37,"VM-thalamus",2
"day1","D",38,"VM-thalamus",2
"day1","D",39,"VM-thalamus",2
"day1","D",40,"VM-thalamus",2
"day1","D",41,"VM-thalamus",2
"day1","D",42,"VM-thalamus",2
"day1","D",43,"VM-thalamus",1
"day1","D",44,"VM-thalamus",2
"day1","D",45,"VM-thalamus",2
"day1","D",46,"VM-thalamus",2
"day1","D",47,"VM-thalamus",2
"day1","D",48,"VM-thalamus",2
"day1","D",49,"VM-thalamus",1
"day1","D",50,"VM-thalamus",1
"day1","D",51,"VM-thalamus",2
"day1","D",52,"VM-thalamus",1
"day1","D",53,"VM-thalamus",2
"day1","D",54,"VM-thalamus",1
"day1","D",55,"VM-thalamus",1
"day1","D",56,"VM-thalamus",2
"day1","D",57,"VM-thalamus",1
"day1","D",58,"VM-thalamus",1
"day1","D",59,"VM-thalamus",1
"day1","D",60,"VM-thalamus",2
"day1","D",61,"VM-thalamus",2
"day1","D",62,"VM-thalamus",2
"day1","D",63,"VM-thalamus",2
"day1","D",64,"VM-thalamus",1
"day1","D",65,"VM-thalamus",1
"day1","D",66,"VM-thalamus",1
"day1","D",67,"VM-thalamus",2
"day1","D",68,"VM-thalamus",1
"day1","D",69,"VM-thalamus",1
"day1","D",70,"VM-thalamus",1
"day1","D",71,"VM-thalamus",1
"day1","D",72,"VM-thalamus",1
"day1","D",73,"VM-thalamus",1
"day1","D",74,"VM-thalamus",1
"day1","D",75,"VM-thalamus",2
"day1","D",76,"VM-thalamus",2
"day1","D",77,"VM-thalamus",2
"day1","D",78,"VM-thalamus",2
"day1","D",79,"VM-thalamus",2
"day1","D",80,"VM-thalamus",1
"day1","D",81,"VM-thalamus",2
"day1","D",82,"VM-thalamus",2
"day1","D",83,"VM-thalamus",1
"day1","D",84,"VM-thalamus",1
"day1","D",85,"VM-thalamus",1
"day1","D",86,"VM-thalamus",1
"day1","D",87,"VM-thalamus",2
"day1","D",88,"VM-thalamus",2
"day1","D",89,"VM-thalamus",1
"day1","D",90,"VM-thalamus",2
"day1","D",91,"VM-thalamus",2
"day1","D",92,"VM-thalamus",1
"day1","D",93,"VM-thalamus",2
"day1","D",94,"VM-thalamus",2
"day1","D",95,"VM-thalamus",2
"day1","D",96,"VM-thalamus",2
"day1","D",97,"VM-thalamus",3
"day1","D",98,"VM-thalamus",2
"day1","D",99,"VM-thalamus",2
"day1","D",100,"VM-thalamus",2
"day1","D",101,"VM-thalamus",2
"day1","D",102,"VM-thalamus",2
"day1","D",103,"VM-thalamus",1
"day1","D",104,"VM-thalamus",3
"day1","D",105,"VM-thalamus",1
"day1","D",106,"VM-thalamus",3
"day1","D",107,"VM-thalamus",1
"day1","D",108,"VM-thalamus",1
"day1","D",109,"VM-thalamus",2
"day1","D",110,"VM-thalamus",2
"day1","D",111,"VM-thalamus",2
"day1","D",112,"VM-thalamus",2
"day1","D",113,"VM-thalamus",2
"day1","D",114,"VM-thalamus",2
"day1","D",115,"PVH",2
"day1","D",116,"PVH",1
"day1","D",117,"VM-thalamus",1
"day1","D",118,"VM-thalamus",1
"day1","D",119,"VM-thalamus",1
"day1","D",120,"VM-thalamus",1
"day1","D",121,"VM-thalamus",1
"day1","D",122,"VM-thalamus",1
"day1","D",123,"VM-thalamus",1
"day1","D",124,"VM-thalamus",1
"day1","D",125,"VM-thalamus",2
"day1","D",126,"VM-thalamus",1
"night1","N",1,"VM-thalamus",1
"night1","N",2,"VM-thalamus",1
"night1","N",3,"VM-thalamus",1
"night1","N",4,"PVH",2
"night1","N",5,"PVH",2
"night1","N",6,"PVH",2
"night1","N",7,"PVH",1
"night1","N",8,"AH",2
"night1","N",9,"AH",2
"night1","N",10,"AH",1
"night1","N",11,"PVH",2
"night1","N",12,"VM-thalamus",1
"night1","N",13,"VM-thalamus",2
"night1","N",14,"PVH",2
"night1","N",15,"PVH",2
"night1","N",16,"PVH",1
"night1","N",17,"AH",1
"night1","N",18,"VM-thalamus",2
"night1","N",19,"DMH",1
"night1","N",20,"DMH",2
"night1","N",21,"DMH",2
"night1","N",22,"DMH",2
"night1","N",23,"VM-thalamus",1
"night1","N",24,"VM-thalamus",1
"night1","N",25,"VM-thalamus",1
"night1","N",26,"VM-thalamus",2
"night1","N",27,"VM-thalamus",1
"night1","N",28,"VM-thalamus",1
"night1","N",29,"PVH",1
"night1","N",30,"PVH",1
"night1","N",31,"VM-thalamus",1
"night2","N",1,"VM-thalamus",1
"night2","N",2,"VM-thalamus",1
"night2","N",3,"VM-thalamus",1
"night2","N",4,"VM-thalamus",2
"night2","N",5,"VM-thalamus",1
"night2","N",6,"VMH",1
"night2","N",7,"VM-thalamus",1
"night2","N",8,"VMH",1
"night2","N",9,"VMH",1
"night2","N",10,"PVH",1
"night2","N",11,"VMH",2
"night2","N",12,"PVH",1
"night2","N",13,"VMH",2
"night2","N",14,"DMH",2
"night2","N",15,"DMH",2
"night2","N",16,"VMH",2
"night2","N",17,"VMH",1
"night2","N",18,"DMH",1
"night2","N",19,"DMH",1
"night2","N",20,"VM-thalamus",1
"night2","N",21,"VM-thalamus",1
"night2","N",22,"VM-thalamus",2
"night2","N",23,"VM-thalamus",1
"night2","N",24,"VM-thalamus",1
"night2","N",25,"VM-thalamus",1
"night2","N",26,"AH",1
"night2","N",27,"AH",1
"night2","N",28,"VM-thalamus",1
"night2","N",29,"AH",1
"night2","N",30,"AH",2
"night2","N",31,"AH",2
"night2","N",32,"PVH",2
"night2","N",33,"AH",1
"night2","N",34,"AH",2
"night3","N",1,"PVH",1
"night3","N",2,"PVH",1
"night3","N",3,"PVH",2
"night3","N",4,"PVH",3
"night3","N",5,"PVH",3
"night3","N",6,"PVH",3
"night3","N",7,"PVH",2
"night3","N",8,"PVH",2
"night3","N",9,"PVH",2
"night3","N",10,"PVH",3
"night3","N",11,"VM-thalamus",3
"night3","N",12,"VM-thalamus",4
"night3","N",13,"VM-thalamus",3
"night3","N",14,"PVH",4
"night3","N",15,"PVH",5
"night3","N",16,"PVH",5
"night3","N",17,"PVH",5
"night3","N",18,"PVH",2
"night3","N",19,"PVH",2
"night3","N",20,"VM-thalamus",2
"night3","N",21,"VM-thalamus",3
"night3","N",22,"VM-thalamus",3
"night3","N",23,"VM-thalamus",2
"night3","N",24,"VM-thalamus",2
"night3","N",25,"VM-thalamus",2
"night3","N",26,"VM-thalamus",2
"night3","N",27,"VM-thalamus",2
"night3","N",28,"PVH",2
"night3","N",29,"VM-thalamus",3
"night3","N",30,"VM-thalamus",3
"night3","N",31,"VM-thalamus",3
"night3","N",32,"VM-thalamus",3
"night3","N",33,"PVH",2
"night4","N",1,"VM-thalamus",1
"night4","N",2,"VM-thalamus",2
"night4","N",3,"PVH",3
"night4","N",4,"PVH",3
"night4","N",5,"PVH",3
"night4","N",6,"PVH",1
"night4","N",7,"PVH",1
"night4","N",8,"AH",1
"night4","N",9,"PVH",1
"night4","N",10,"PVH",3
"night4","N",11,"VM-thalamus",1
"night4","N",12,"DMH",3
"night4","N",13,"DMH",3
"night4","N",14,"DMH",3
"night4","N",15,"DMH",3
"night4","N",16,"DMH",1
"night4","N",17,"DMH",1
"night4","N",18,"VM-thalamus",3
"night4","N",19,"PVH",2
"night4","N",20,"VM-thalamus",3
"night4","N",21,"VM-thalamus",1
"night4","N",22,"PVH",3
"night4","N",23,"VM-thalamus",2
"night4","N",24,"PVH",1
"night4","N",25,"PVH",2
"night4","N",26,"PVH",1
"night4","N",27,"PVH",2
"night4","N",28,"PVH",2
"night4","N",29,"PVH",2
"night4","N",30,"PVH",2
"night4","N",31,"PVH",2
"night4","N",32,"PVH",1
"night4","N",33,"PVH",2
"night4","N",34,"PVH",2
"night5","N",1,"VM-thalamus",1
"night5","N",2,"VM-thalamus",2
"night5","N",3,"VM-thalamus",3
"night5","N",4,"VM-thalamus",3
"night5","N",5,"VM-thalamus",2
"night5","N",6,"VM-thalamus",1
"night5","N",7,"VM-thalamus",1
"night5","N",8,"VM-thalamus",1
"night5","N",9,"VM-thalamus",1
"night5","N",10,"VM-thalamus",1
"night5","N",11,"VM-thalamus",1
"night5","N",12,"VM-thalamus",1
"night5","N",13,"VM-thalamus",3
"night5","N",14,"PVH",2
"night5","N",15,"VM-thalamus",1
"night5","N",16,"VM-thalamus",3
"night5","N",17,"VM-thalamus",3
"night5","N",18,"VM-thalamus",3
"night5","N",19,"VMH",1
"night5","N",20,"VMH",2
"night5","N",21,"VMH",2
"night5","N",22,"VM-thalamus",3
"night5","N",23,"VM-thalamus",2
"night5","N",24,"VM-thalamus",3
"day2","D",1,"VM-thalamus",1
"day2","D",2,"VM-thalamus",1
"day2","D",3,"PH",1
"day2","D",4,"VM-thalamus",1
"day2","D",5,"VM-thalamus",1
"day2","D",6,"VM-thalamus",1
"day2","D",7,"DMH",2
"day2","D",8,"DMH",1
"day2","D",9,"DMH",1
"day2","D",10,"DMH",1
"day2","D",11,"DMH",1
"day2","D",12,"DMH",1
"day2","D",13,"PH",2
"day2","D",14,"VM-thalamus",1
"day2","D",15,"VM-thalamus",2
"day2","D",16,"VM-thalamus",2
"day2","D",17,"PVH",2
"day2","D",18,"PH",1
"day2","D",19,"PH",2
"day2","D",20,"PH",1
"day2","D",21,"PH",1
"day2","D",22,"PH",1
"day2","D",23,"PH",2
"day2","D",24,"PH",1
"day2","D",25,"DMH",1
"day2","D",26,"VM-thalamus",2
"day2","D",27,"PH",1
"day2","D",28,"DMH",2
"day2","D",29,"PH",2
"day2","D",30,"DMH",1
"day2","D",31,"DMH",1
"night6","N",1,"VM-thalamus",1
"night6","N",2,"VM-thalamus",2
"night6","N",3,"VM-thalamus",3
"night6","N",4,"VM-thalamus",2
"night6","N",5,"DMH",2
"night6","N",6,"DMH",2
"night6","N",7,"DMH",2
"night6","N",8,"DMH",2
"night6","N",9,"DMH",2
"night6","N",10,"DMH",2
"night6","N",11,"DMH",2
"night6","N",12,"VM-thalamus",2
"night6","N",13,"DMH",2
"night6","N",14,"DMH",2
"night6","N",15,"DMH",2
"night6","N",16,"DMH",2
"night6","N",17,"VM-thalamus",1
"night6","N",18,"VM-thalamus",3
"night6","N",19,"PVH",3
"night6","N",20,"PVH",2
"night6","N",21,"VM-thalamus",3
"night6","N",22,"VM-thalamus",1
"night6","N",23,"VMH",2
"night6","N",24,"VMH",2
"night6","N",25,"VMH",2
"night6","N",26,"VM-thalamus",1
"night6","N",27,"DMH",2
"night6","N",28,"DMH",2
"night6","N",29,"DMH",2
"night6","N",30,"DMH",3
"night6","N",31,"VM-thalamus",2
"night6","N",32,"VM-thalamus",2
"night6","N",33,"VM-thalamus",3
"night6","N",34,"PVH",3
"night6","N",35,"VM-thalamus",1
"night6","N",36,"VM-thalamus",1
"night6","N",37,"DMH",3
"night6","N",38,"DMH",3
"night6","N",39,"VM-thalamus",1
"night6","N",40,"VM-thalamus",2
"night6","N",41,"VM-thalamus",1
"night6","N",42,"VM-thalamus",3
"night6","N",43,"VM-thalamus",3
"night6","N",44,"VM-thalamus",3
"night6","N",45,"VM-thalamus",1
"night6","N",46,"VM-thalamus",1
"night6","N",47,"VM-thalamus",1
"night6","N",48,"VM-thalamus",1
"night6","N",49,"VM-thalamus",1
"night6","N",50,"VM-thalamus",3
"night6","N",51,"PVH",3
"night6","N",52,"PVH",2
"night6","N",53,"PVH",3
"night7","N",1,"VM-thalamus",1
"night7","N",2,"PH",1
"night7","N",3,"DMH",1
"night7","N",4,"VM-thalamus",1
"night7","N",5,"VM-thalamus",1
"night7","N",6,"VM-thalamus",1
"night7","N",7,"DMH",1
"night7","N",8,"DMH",1
"night7","N",9,"VMH",1
"night7","N",10,"DMH",1
"night7","N",11,"PH",1
"night7","N",12,"PH",1
"night7","N",13,"PH",2
"night7","N",14,"PH",1
"night7","N",15,"PH",1
"night7","N",16,"PH",1
"night7","N",17,"PH",1
"night7","N",18,"PH",1
"night7","N",19,"DMH",3
"night7","N",20,"DMH",1
"night7","N",21,"PH",1
"night7","N",22,"PH",1
"night7","N",23,"PH",1
"night7","N",24,"VM-thalamus",1
"night7","N",25,"VM-thalamus",1
"night7","N",26,"PH",1
"night7","N",27,"DMH",1
"night7","N",28,"DMH",1
"night7","N",29,"DMH",1
"night7","N",30,"DMH",1
"night7","N",31,"DMH",1
"night7","N",32,"ARH",1
"night7","N",33,"ARH",1
"night7","N",34,"ARH",1
"night7","N",35,"ARH",1
"night7","N",36,"ARH",1
"night7","N",37,"ARH",4
"night7","N",38,"ARH",1
"night7","N",39,"ARH",1
"night7","N",40,"PH",1
"night7","N",41,"ARH",1
"night7","N",42,"PH",1
"night7","N",43,"ZI",5
"night7","N",44,"ZI",2
"night7","N",45,"ZI",1
"night7","N",46,"VMH",3
"night7","N",47,"VMH",6
"night7","N",48,"VMH",1
"night7","N",49,"VMH",7
"night7","N",50,"VMH",8
"night7","N",51,"ZI",1
