"animal","condition","source","target","density"
"180302","lightON","PH","MC",0.64957264957265
"180302","lightON","PH","PVH",0.0192307692307692
"180302","lightON","PH","ARH",0.483516483516484
"180302","lightON","PH","DMH",0.923076923076923
"180302","lightON","MC","PH",0.799145299145299
"180302","lightON","MC","PVH",0.0138888888888889
"180302","lightON","MC","ARH",0.5
"180302","lightON","MC","DMH",0.972222222222222
"180302","lightON","PVH","PH",0.826923076923077
"180302","lightON","PVH","MC",0.694444444444444
"180302","lightON","PVH","ARH",0.5
"180302","lightON","PVH","DMH",0.9375
"180302","lightON","ARH","PH",0.736263736263736
"180302","lightON","ARH","MC",0.619047619047619
"180302","lightON","ARH","PVH",0.0357142857142857
"180302","lightON","ARH","DMH",0.821428571428571
"180302","lightON","DMH","PH",0.923076923076923
"180302","lightON","DMH","MC",0.75
"180302","lightON","DMH","PVH",0
"180302","lightON","DMH","ARH",0.535714285714286
