"animal","condition","source","target","density"
"day3","lightON","PH","MC",0.0277777777777778
"day3","lightON","PH","PVH",0.0178571428571429
"day3","lightON","PH","ARH",0.0408163265306122
"day3","lightON","PH","DMH",0.0357142857142857
"day3","lightON","MC","PH",0.0555555555555556
"day3","lightON","MC","PVH",0.0694444444444444
"day3","lightON","MC","ARH",0.0555555555555556
"day3","lightON","MC","DMH",0.0555555555555556
"day3","lightON","PVH","PH",0.0535714285714286
"day3","lightON","PVH","MC",0.0416666666666667
"day3","lightON","PVH","ARH",0.0714285714285714
"day3","lightON","PVH","DMH",0
"day3","lightON","ARH","PH",0.0306122448979592
"day3","lightON","ARH","MC",0.0873015873015873
"day3","lightON","ARH","PVH",0
"day3","lightON","ARH","DMH",0.0357142857142857
"day3","lightON","DMH","PH",0.0357142857142857
"day3","lightON","DMH","MC",0.0833333333333333
"day3","lightON","DMH","PVH",0
"day3","lightON","DMH","ARH",0.0357142857142857
