"animal","condition","source","target","density"
"night7","ongoing","VM-thalamus","PH",0.492063492063492
"night7","ongoing","VM-thalamus","DMH",0.458128078817734
"night7","ongoing","VM-thalamus","VMH",0.571428571428571
"night7","ongoing","VM-thalamus","ARH",0.301587301587302
"night7","ongoing","VM-thalamus","ZI",0.457142857142857
"night7","ongoing","PH","VM-thalamus",0.452380952380952
"night7","ongoing","PH","DMH",0.637931034482759
"night7","ongoing","PH","VMH",0.712962962962963
"night7","ongoing","PH","ARH",0.401234567901235
"night7","ongoing","PH","ZI",0.633333333333333
"night7","ongoing","DMH","VM-thalamus",0.477832512315271
"night7","ongoing","DMH","PH",0.626436781609195
"night7","ongoing","DMH","VMH",0.672413793103448
"night7","ongoing","DMH","ARH",0.467432950191571
"night7","ongoing","DMH","ZI",0.662068965517241
"night7","ongoing","VMH","VM-thalamus",0.523809523809524
"night7","ongoing","VMH","PH",0.75
"night7","ongoing","VMH","DMH",0.672413793103448
"night7","ongoing","VMH","ARH",0.5
"night7","ongoing","VMH","ZI",0.733333333333333
"night7","ongoing","ARH","VM-thalamus",0.380952380952381
"night7","ongoing","ARH","PH",0.401234567901235
"night7","ongoing","ARH","DMH",0.509578544061303
"night7","ongoing","ARH","VMH",0.537037037037037
"night7","ongoing","ARH","ZI",0.477777777777778
"night7","ongoing","ZI","VM-thalamus",0.471428571428571
"night7","ongoing","ZI","PH",0.661111111111111
"night7","ongoing","ZI","DMH",0.63448275862069
"night7","ongoing","ZI","VMH",0.7
"night7","ongoing","ZI","ARH",0.455555555555556
