"source","target","consistency"
"DMH","DMH",0.74261061502641
"MC","DMH",0.503437546858599
"PH","DMH",0.665039558143006
"PVH","DMH",0.471959310039805
"VM-thalamus","DMH",0.6444318519234
"VMH","DMH",0.694686513443853
"DMH","MC",0.55935297645824
"MC","MC",0.491217410040939
"PH","MC",0.556872880206214
"DMH","PH",0.697385902059223
"MC","PH",0.555265228598562
"PH","PH",0.689222248339895
"PVH","PH",0.595850991114149
"VM-thalamus","PH",0.715930735930736
"VMH","PH",0.764197530864198
"DMH","PVH",0.439413689452389
"PH","PVH",0.65365003417635
"PVH","PVH",0.632118461419656
"VM-thalamus","PVH",0.588883710954152
"DMH","VM-thalamus",0.611384251313257
"PH","VM-thalamus",0.701250601250601
"PVH","VM-thalamus",0.630767455668707
"VM-thalamus","VM-thalamus",0.611271389864246
"VMH","VM-thalamus",0.752954144620811
"DMH","VMH",0.693918048163004
"PH","VMH",0.722530864197531
"VM-thalamus","VMH",0.748941798941799
"VMH","VMH",0.686666666666667
