"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"180111","lightON",1,"VM-thalamus",98,0.917748917748918,3.78665458719367,0.147814958288733,-1.12171442318753
"180111","lightON",2,"VM-thalamus",260,0.939393939393939,3.65132631235613,0.434503511069524,0
"180111","lightON",3,"VM-thalamus",219,0.91304347826087,3.26625545605443,0.447136998945875,-0.283890687349931
"180111","lightON",4,"VM-thalamus",181,0.91304347826087,3.27925852012632,0.287834402072862,-0.547008885381574
"180111","lightON",5,"VM-thalamus",194,0.957142857142857,3.81056618446539,0.312300811881005,-0.456994765002327
"180111","lightON",6,"VM-thalamus",221,0.939393939393939,3.67011115244214,0.330689596619975,-0.270042361137739
"180111","lightON",7,"VM-thalamus",526,0.91304347826087,3.15459785754929,0.852151702574983,1.8418273862215
"180111","lightON",8,"VM-thalamus",348,0.91304347826087,3.17400893119396,0.550196181886158,0.609326353336437
"180111","lightON",9,"VM-thalamus",639,0.91304347826087,3.06737486288321,1,2.62425781721034
"180111","lightON",10,"VM-thalamus",229,0.939393939393939,3.55571301171555,0.384758417292876,-0.214649056288972
"180111","lightON",11,"VM-thalamus",214,0.91304347826087,3.27541741587465,0.298078264029414,-0.31851150288041
"180111","lightON",12,"VM-thalamus",169,0.992647058823529,3.94847807553169,0.0984515147624454,-0.630098842654724
"180111","lightON",13,"VM-thalamus",73,0.971428571428571,3.58128958908559,0.108838559308038,-1.29481850083993
"180111","lightON",14,"PVH",201,0.976608187134503,3.83309168215903,5.06155191499798e-21,-0.408525623259656
"180111","lightON",15,"VM-thalamus",58,0.95906432748538,3.46114921848645,0.00180360249295773,-1.39868094743137
"180111","lightON",16,"VM-thalamus",109,0.947368421052632,3.3675096120784,5.06155191499798e-21,-1.04554862902048
"180111","lightON",17,"VM-thalamus",301,0.930735930735931,3.01307466951004,0.329792463745808,0.283890687349931
"180111","lightON",18,"VM-thalamus",420,0.91304347826087,3.11766805705651,0.63033857562192,1.10786609697534
"180111","lightON",19,"VMH",236,0.926406926406926,3.32605789118833,0.342438430700147,-0.166179914546301
"180111","lightON",20,"VMH",402,0.91304347826087,3.16809445250542,0.608522806369053,0.983231161065614
"180111","lightON",21,"VMH",308,0.957894736842105,4.70900431220623,0.519359463445147,0.332359829092602
"180111","lightON",22,"VM-thalamus",154,0.954248366013072,3.68678224117653,0.244568957369877,-0.733961289246162
"180111","lightON",23,"VM-thalamus",218,0.952380952380952,3.72133579922226,0.372260515033912,-0.290814850456027
"180111","lightON",24,"VM-thalamus",462,0.91304347826087,3.11766805705651,0.439009443601608,1.39868094743137
