"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"day1","ongoing",1,"VM-thalamus",-8.085845,0.9,0.743259185716961,0.0747321255652874,1.75171485207618
"day1","ongoing",2,"VM-thalamus",-20.283945,0.886892177589852,0.403102461822495,0.293303521703639,1.10510428094429
"day1","ongoing",3,"VM-thalamus",-28.499362,0.851236146632566,0.387976821412939,0.478316430281169,0.66961223886752
"day1","ongoing",4,"VM-thalamus",-36.210709,0.787971905179983,0.421702291774236,0.564254819699056,0.26084050491992
"day1","ongoing",5,"VM-thalamus",-77.699764,0.689360447981138,0.417424350695494,0.960956280533875,-1.93845787345642
"day1","ongoing",6,"VM-thalamus",-25.517014,0.849702380952381,0.39482300134858,0.39228863107865,0.827703887861549
"day1","ongoing",7,"VM-thalamus",-55.853338,0.760990099009901,0.400393477600504,0.713686561020763,-0.780398012244382
"day1","ongoing",8,"VM-thalamus",-71.401315,0.673989321128909,0.419707515655295,0.860180924369991,-1.60458262197176
"day1","ongoing",9,"VM-thalamus",-48.010307,0.752216037930324,0.393963998080127,0.614078578765102,-0.364645825074647
"day1","ongoing",10,"VM-thalamus",-24.607718,0.837662337662338,0.403453398649428,0.455034094982913,0.875904870464408
"day1","ongoing",11,"VM-thalamus",-23.948893,0.779390420899855,0.391534966189192,0.372036325949694,0.910828605269498
"day1","ongoing",12,"VM-thalamus",-24.557749,0.854122621564482,0.401114100922044,0.427580626019606,0.878553683281887
"day1","ongoing",13,"VM-thalamus",-48.846066,0.732673267326733,0.405891021815408,0.680845138586542,-0.408948675872607
"day1","ongoing",14,"VM-thalamus",-10.36187,0.927272727272727,0.3837004369914,0.204152038993525,1.63106476516425
"day1","ongoing",15,"VM-thalamus",-29.448673,0.805531167690957,0.391913409916903,0.520012929117977,0.619290096247621
"day1","ongoing",16,"VM-thalamus",-11.988985,0.875268817204301,0.373400584443149,0.154820769676067,1.54481282761272
"day1","ongoing",17,"VM-thalamus",-32.266685,0.783333333333333,0.400153143356795,0.455765871226581,0.469909754327443
"day1","ongoing",18,"VM-thalamus",-41.273533,0.811346548188653,0.38927478352351,0.463610755553729,-0.00753535018704218
"day1","ongoing",19,"VM-thalamus",-58.63604,0.746252865455828,0.409326479048012,0.789628252878964,-0.927906602066554
"day1","ongoing",20,"VM-thalamus",-70.900128,0.711872586872587,0.414687716852254,0.874955671565788,-1.57801513914133
"day1","ongoing",21,"VM-thalamus",-55.740791,0.73952967525196,0.400842750395586,0.651055968929645,-0.774431994590059
"day1","ongoing",22,"VM-thalamus",-35.125187,0.739374498797113,0.395710269684996,0.489472848145655,0.318383073057274
"day1","ongoing",23,"VM-thalamus",-21.00453,0.87916026625704,0.390788624415617,0.398739254287956,1.06690670276416
"day1","ongoing",24,"VM-thalamus",-27.456713,0.802530802530803,0.394059998173584,0.476248787051737,0.724882146917142
"day1","ongoing",25,"VM-thalamus",-79.383016,0.687444739168877,0.426935188054509,0.964086085945893,-2.02768558408996
"day1","ongoing",26,"VM-thalamus",-10.075201,0.66798418972332,0.353266954958666,0.198326266582561,1.64626083716036
"day1","ongoing",27,"VM-thalamus",-55.835972,0.787061403508772,0.390636078939479,0.726363098496401,-0.779477455831638
