"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"day5","lightON",1,"DMH",-16.336756,0.2,0.331701544582135,-2.72809542083769e-15,-3.33419858229904
"day5","lightON",2,"PH",-9.709948,0.391666666666667,0.385051967556684,-1.09682713668692e-15,-1.66448260410516
"day5","lightON",3,"PH",-3.951995,0.833333333333333,0.370633786970666,-3.29337000902349e-16,-0.213686666484908
"day5","lightON",4,"PH",-6.403385,0.428571428571429,0.334833298827171,-6.3476440881804e-16,-0.831348299624828
"day5","lightON",5,"PH",-7.715258,0.321428571428571,0.339817748782512,-1.46641034451182e-15,-1.16189285583668
"day5","lightON",6,"PH",-7.827246,0.428571428571429,0.331060590043927,-9.28739577993107e-16,-1.19010978214056
"day5","lightON",7,"PH",-0.803401,0,0,3.93703013682546e-19,0.579645162450739
"day5","lightON",8,"PH",-0.753723,0,0,-2.11609526276229e-16,0.592162222001086
"day5","lightON",9,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",10,"PH",-13.240295,0.245614035087719,0.205330545443598,-1.10484745538643e-15,-2.55400238413633
"day5","lightON",11,"PH",-11.14099,0.341666666666667,0.344451969873848,-1.71611177793756e-15,-2.02505343894246
"day5","lightON",12,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",13,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",14,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",15,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",16,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",17,"PH",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",18,"PH",-2.620869,0.333333333333333,0.141823333333333,-5.95566907220874e-16,0.121708949502352
"day5","lightON",19,"MC",-2.817919,0.833333333333333,0.406923701889803,-1.43205306516556e-16,0.0720594751999274
"day5","lightON",20,"MC",-0.771059,0,0,3.93703013682546e-19,0.58779417690336
"day5","lightON",21,"MC",-3.133913,0.6,0.294031992085423,-4.45283427263876e-16,-0.00755958586437338
"day5","lightON",22,"MC",-0.91074,0,0,3.93703013682546e-19,0.552599616030297
"day5","lightON",23,"MC",-5.845194,0.4,0.23687981651464,-3.99456203960844e-16,-0.690704352858298
"day5","lightON",24,"MC",0,0,0,3.93703013682546e-19,0.782073161963768
"day5","lightON",25,"MC",-0.962401,0,0,-3.82914252104837e-16,0.53958291218895
"day5","lightON",26,"MC",-4.482896,0.833333333333333,0.327210606294639,-1.82879450700429e-15,-0.347454520109022
