"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"night5","lightON",1,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",2,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",3,"VM-thalamus",12.24602,0,0,-2.42439680935422e-16,2.67988385033005
"night5","lightON",4,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",5,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",6,"VM-thalamus",8.949083,0,0,-8.57723342075537e-17,1.86224157506099
"night5","lightON",7,"VM-thalamus",1.435963,0,0,-2.23752171416325e-17,-0.00101651302788473
"night5","lightON",8,"VM-thalamus",7.967242,0,0,-2.29325090627606e-17,1.61874444145108
"night5","lightON",9,"VM-thalamus",-0.25888,0.166666666666667,0.0888928333333333,2.97018425153277e-17,-0.421338553377408
"night5","lightON",10,"VM-thalamus",-0.954195,0,0,3.33532358603423e-17,-0.59377707392806
"night5","lightON",11,"VM-thalamus",-0.827919,0,0,-8.33782548670346e-20,-0.562460553184146
"night5","lightON",12,"VM-thalamus",-1.732495,0,0,-8.33782548670346e-20,-0.786795922283945
"night5","lightON",13,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",14,"PVH",-1.044864,1,0.355417,1.40467386516368e-17,-0.616263038159821
"night5","lightON",15,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",16,"VM-thalamus",0,0,0,-8.33782548670346e-20,-0.357136164244205
"night5","lightON",17,"VM-thalamus",0,0,0,-1.0842021724855e-19,-0.357136164244205
"night5","lightON",18,"VM-thalamus",0,0,0,-1.0842021724855e-19,-0.357136164244205
"night5","lightON",19,"VMH",0,0,0,-1.0842021724855e-19,-0.357136164244205
"night5","lightON",20,"VMH",-1.704849,0,0,1.38777878078145e-17,-0.779939698357893
"night5","lightON",21,"VMH",-0.435434,0,0,6.93889390390723e-18,-0.465124047085008
"night5","lightON",22,"VM-thalamus",0,0,0,-1.0842021724855e-19,-0.357136164244205
"night5","lightON",23,"VM-thalamus",0,0,0,-1.0842021724855e-19,-0.357136164244205
"night5","lightON",24,"VM-thalamus",10.921812,0.166666666666667,0.0852511666666667,1,2.35147950349251
