"animal","day_night","n_neurons","obs_modularity","null_modularity_mean","z_modularity","p_modularity","obs_clustering","null_clustering_mean","z_clustering","p_clustering","obs_path_length","null_path_length_mean","z_path_length","p_path_length"
"day1","D",126,0.269232529242597,0.256575736511282,1.66822478298437,0.045,0.144888888888889,0.150208525398311,-0.646174656427654,0.73,2.39522546419098,NA,NA,NA
"night1","N",31,0.330692621095518,0.312273463146492,0.77576569033481,0.205,0.25974025974026,0.24667088366915,0.325247661537223,0.36,2.27666666666667,NA,NA,NA
"night2","N",34,0.50125,0.457942256053616,1.09644411413919,0.14,0.166666666666667,0.0987484705885326,0.944314008248224,0.155,3.07438016528926,NA,NA,NA
"night3","N",33,0.444444444444444,0.444444444444444,NA,1,0,0,NA,1,1.25,NA,NA,NA
"night4","N",35,0.488919667590028,0.469208202699875,0.501409885770096,0.3,0.0638297872340425,0.11163268115277,-0.703706661263797,0.76,2.89542483660131,NA,NA,NA
"night5","N",24,0.479338842975207,0.40269934331888,1.66406434422958,0.05,0.1875,0.113384724344283,0.733839071994457,0.195,1.90322580645161,NA,NA,NA
"day2","D",31,0.193222354340071,0.213522347626569,-0.71669709741905,0.78,0.367741935483871,0.365958981057438,0.048135360335708,0.485,1.86666666666667,NA,NA,NA
"night6","N",54,0.311120366513952,0.312554913399545,-0.0996475392978516,0.51,0.304812834224599,0.262353104459899,2.4049782848911,0.01,2.21182266009852,NA,NA,NA
"night7","N",79,0.101415170306161,0.0781222777395383,5.07556040474309,0,0.654922748723253,0.645489291159228,2.2553445457141,0.01,1.70434102463825,NA,NA,NA
"day3","D",47,0.239366448542534,0.224306371594148,0.900172606602768,0.16,0.290882778581766,0.288921600466612,0.139273562189486,0.44,1.91494252873563,NA,NA,NA
"day4","D",61,0.161168781237985,0.156490849394291,0.579466826893349,0.285,0.42371705963939,0.430367027419576,-0.596890315518047,0.72,1.96298984034833,NA,NA,NA
"day5","D",71,0.288591829283135,0.261152804837882,2.51289992058271,0.005,0.303082191780822,0.29697192433138,0.34930554451444,0.355,2.35324675324675,NA,NA,NA
"day6","D",56,0.132461734693878,0.121767911563169,1.35273227136665,0.11,0.514867291957693,0.515905484644996,-0.098252043812252,0.56,1.8048309178744,NA,NA,NA
