"animal","day_night","neuron_id","region","community","participation_coefficient","degree"
"171019","D",1,"VM-thalamus",1,0.521382774803358,123
"171019","D",2,"VM-thalamus",1,0.522502601456816,124
"171019","D",3,"VM-thalamus",1,0.521984,125
"171019","D",4,"VM-thalamus",1,0.521984,125
"171019","D",5,"VM-thalamus",2,0.522624,125
"171019","D",6,"VM-thalamus",2,0.522624,125
"171019","D",7,"VM-thalamus",2,0.522624,125
"171019","D",8,"VM-thalamus",2,0.522624,125
"171019","D",9,"VM-thalamus",2,0.522624,125
"171019","D",10,"VM-thalamus",1,0.521984,125
"171019","D",11,"VM-thalamus",1,0.521984,125
"171019","D",12,"VM-thalamus",1,0.521984,125
"171019","D",13,"VM-thalamus",1,0.521984,125
"171019","D",14,"VM-thalamus",1,0.522308149910767,123
"171019","D",15,"VM-thalamus",1,0.521984,125
"171019","D",16,"VM-thalamus",1,0.522308149910767,123
"171019","D",17,"VM-thalamus",1,0.521984,125
"171019","D",18,"VM-thalamus",1,0.521984,125
"171019","D",19,"VM-thalamus",2,0.522624,125
"171019","D",20,"VM-thalamus",2,0.522624,125
"171019","D",21,"VM-thalamus",2,0.522624,125
"171019","D",22,"VM-thalamus",1,0.521984,125
"171019","D",23,"VM-thalamus",1,0.521984,125
"171019","D",24,"VM-thalamus",1,0.521984,125
"171019","D",25,"VM-thalamus",2,0.522624,125
"171019","D",26,"VM-thalamus",1,0.521984,125
"171019","D",27,"VM-thalamus",2,0.522624,125
"171019","D",28,"VM-thalamus",1,0.521722164412071,124
"171019","D",29,"VM-thalamus",2,0.522624,125
"171019","D",30,"VM-thalamus",2,0.522624,125
"171019","D",31,"VM-thalamus",2,0.522624,125
"171019","D",32,"VM-thalamus",2,0.522624,125
"171019","D",33,"VM-thalamus",1,0.521984,125
"171019","D",34,"VM-thalamus",2,0.522624,125
"171019","D",35,"VM-thalamus",2,0.522624,125
"171019","D",36,"VM-thalamus",2,0.522624,125
"171019","D",37,"VM-thalamus",2,0.522624,125
"171019","D",38,"VM-thalamus",2,0.522624,125
"171019","D",39,"VM-thalamus",2,0.522624,125
"171019","D",40,"VM-thalamus",2,0.522624,125
"171019","D",41,"VM-thalamus",2,0.522502601456816,124
"171019","D",42,"VM-thalamus",2,0.522624,125
"171019","D",43,"VM-thalamus",1,0.521984,125
"171019","D",44,"VM-thalamus",2,0.522624,125
"171019","D",45,"VM-thalamus",2,0.522624,125
"171019","D",46,"VM-thalamus",2,0.522624,125
"171019","D",47,"VM-thalamus",2,0.522502601456816,124
"171019","D",48,"VM-thalamus",2,0.522624,125
"171019","D",49,"VM-thalamus",1,0.521984,125
"171019","D",50,"VM-thalamus",1,0.521984,125
"171019","D",51,"VM-thalamus",2,0.522624,125
"171019","D",52,"VM-thalamus",1,0.521722164412071,124
"171019","D",53,"VM-thalamus",2,0.522624,125
"171019","D",54,"VM-thalamus",1,0.521984,125
"171019","D",55,"VM-thalamus",1,0.521984,125
"171019","D",56,"VM-thalamus",2,0.522624,125
"171019","D",57,"VM-thalamus",1,0.521984,125
"171019","D",58,"VM-thalamus",1,0.522502601456816,124
"171019","D",59,"VM-thalamus",1,0.521984,125
"171019","D",60,"VM-thalamus",2,0.522624,125
"171019","D",61,"VM-thalamus",2,0.522624,125
"171019","D",62,"VM-thalamus",2,0.522502601456816,124
"171019","D",63,"VM-thalamus",2,0.519621928166352,115
"171019","D",64,"VM-thalamus",1,1,1
"171019","D",65,"VM-thalamus",1,1,1
