"animal","day_night","k","n_nodes","phi_obs","phi_null_mean","phi_norm","p_value"
"day1","D",1,126,0.0457821457821458,0.0457821457821458,1,1
"day1","D",2,126,0.0500915750915751,0.0501025641025641,0.999780669688551,1
"day1","D",3,126,0.056164089347079,0.0562285223367698,0.998854087089381,1
"day1","D",4,126,0.0646885859395883,0.0648890670943598,0.996910401647786,0.92
"day1","D",5,126,0.0702160493827161,0.0706481481481482,0.99388379204893,0.94
"day1","D",6,126,0.076823398741207,0.0778119215105516,0.987295998477423,1
"day1","D",7,126,0.0860576923076923,0.0882644230769231,0.974998638270058,1
"day1","D",8,126,0.103047895500726,0.105961538461538,0.972502825052221,0.95
"day1","D",9,126,0.123693379790941,0.13,0.95148753685339,0.96
"day1","D",10,126,0.131578947368421,0.138151147098516,0.952427468985054,0.95
"day1","D",11,126,0.147058823529412,0.153645276292335,0.957132084227623,0.91
"day1","D",12,126,0.170769230769231,0.188461538461538,0.906122448979592,0.98
"day1","D",13,126,0.177865612648221,0.206146245059289,0.86281276962899,1
"day1","D",14,126,0.177865612648221,0.206146245059289,0.86281276962899,1
"day1","D",15,126,0.183333333333333,0.217547619047619,0.84272737222283,1
"day1","D",16,126,0.181578947368421,0.222894736842105,0.814639905548997,1
"day1","D",17,126,0.209558823529412,0.241176470588235,0.86890243902439,0.96
"day1","D",18,126,0.214285714285714,0.265384615384615,0.807453416149068,1
"day1","D",19,126,0.211538461538462,0.274679487179487,0.770128354725788,0.99
"day1","D",20,126,0.211538461538462,0.274679487179487,0.770128354725788,0.99
"day1","D",21,126,0.244444444444444,0.300222222222222,0.814211695040711,0.92
"day1","D",22,126,0.25,0.314861111111111,0.794000882223203,0.93
"day1","D",23,126,0.303571428571429,0.330535714285714,0.918422474338196,0.72
"day1","D",24,126,0.333333333333333,0.360666666666667,0.924214417744917,0.67
"day1","D",25,126,0.333333333333333,0.360666666666667,0.924214417744917,0.67
"day1","D",26,126,0.5,0.4,1.25,0.32
"day1","D",27,126,0.166666666666667,0.396666666666667,0.420168067226891,0.95
"day1","D",28,126,0.5,0.43,1.16279069767442,0.67
"day1","D",29,126,0.5,0.43,1.16279069767442,0.67
"day1","D",30,126,0.5,0.43,1.16279069767442,0.67
"day1","D",31,126,0.5,0.43,1.16279069767442,0.67
"day1","D",32,126,NA,NA,NA,NA
"day1","D",33,126,NA,NA,NA,NA
"night1","N",1,31,0.121052631578947,0.121210526315789,0.998697351280938,1
"night1","N",2,31,0.171428571428571,0.174904761904762,0.980125238224884,1
"night1","N",3,31,0.236363636363636,0.242,0.976709241172051,0.84
"night1","N",4,31,0.433333333333333,0.418,1.03668261562998,0.53
"night1","N",5,31,0.55,0.4895,1.12359550561798,0.27
"night1","N",6,31,0.583333333333333,0.5775,1.01010101010101,0.64
"night1","N",7,31,0.583333333333333,0.5775,1.01010101010101,0.64
"night1","N",8,31,0.583333333333333,0.5775,1.01010101010101,0.64
"night1","N",9,31,0.583333333333333,0.5775,1.01010101010101,0.64
"night1","N",10,31,NA,NA,NA,NA
"night1","N",11,31,NA,NA,NA,NA
"night1","N",12,31,NA,NA,NA,NA
"night1","N",13,31,NA,NA,NA,NA
"night1","N",14,31,NA,NA,NA,NA
"night2","N",1,34,0.115384615384615,0.110641025641026,1.04287369640788,0.26
"night2","N",2,34,0.138888888888889,0.147222222222222,0.943396226415094,0.9
"night2","N",3,34,0,0.22,0,1
"night2","N",4,34,NA,NA,NA,NA
"night2","N",5,34,NA,NA,NA,NA
"night3","N",1,33,NA,NA,NA,NA
"night3","N",2,33,NA,NA,NA,NA
"night4","N",1,35,0.133333333333333,0.140222222222222,0.950871632329635,1
"night4","N",2,35,0.416666666666667,0.344166666666667,1.21065375302663,0.4
"night4","N",3,35,0.333333333333333,0.44,0.757575757575758,0.88
"night4","N",4,35,0,0.56,0,1
"night4","N",5,35,NA,NA,NA,NA
"night4","N",6,35,NA,NA,NA,NA
"night4","N",7,35,NA,NA,NA,NA
"night4","N",8,35,NA,NA,NA,NA
"night5","N",1,24,0.160714285714286,0.164464285714286,0.977198697068404,1
"night5","N",2,24,0.166666666666667,0.373333333333333,0.446428571428571,0.98
"night5","N",3,24,0.5,0.5,1,0.83
"night5","N",4,24,NA,NA,NA,NA
"night5","N",5,24,NA,NA,NA,NA
"day2","D",1,31,0.257575757575758,0.257575757575758,1,1
"day2","D",2,31,0.464285714285714,0.466785714285714,0.994644223412395,1
"day2","D",3,31,0.547619047619048,0.556428571428571,0.984167736414206,1
"day2","D",4,31,0.633333333333333,0.654666666666667,0.967413441955194,1
"day2","D",5,31,0.7,0.756,0.925925925925926,1
