"animal","day_night","n_neurons","C_obs","C_rand","C_latt","L_obs","L_rand","L_latt","sigma","omega"
"day1","D",126,0.966225016694104,0.96420675791039,0.9593837535014,1.03873015873016,1.03580952380952,1.04,0.999275559087927,-0.00994262925459133
"night1","N",31,0.971914090158131,0.975322139789145,1,1.03010752688172,1.0258064516129,1,0.992344943546064,0.0239105444974017
"night2","N",34,0.925480601188396,0.888888888888889,0.903448275862069,1.11942959001783,1.11051693404635,1.09090909090909,1.03287614069732,-0.0323487084190123
"night3","N",33,0.964539473684211,0.952672680759391,1,1.03787878787879,1.04734848484848,1,1.0216940571356,0.0445846139070303
"night4","N",34,0.962380549171404,0.960159362549801,0.967741935483871,1.0427807486631,1.03921568627451,1.03030303030303,0.998886639726915,0.0021212957707456
"night5","N",24,0.932432432432432,0.897796817625459,0.952380952380952,1.07971014492754,1.10144927536232,1.04347826086957,1.05948943137563,0.0410801741338654
"day2","D",31,0.966385215867453,0.965478841870824,1,1.03655913978495,1.03440860215054,1,0.998862145355894,0.0315400953358669
"night6","N",53,0.946874548866753,0.936816879058244,0.96,1.06240928882438,1.06240928882438,1.03846153846154,1.01073600405089,0.0136723449304654
"day4","D",61,0.943067083083768,0.918025212857237,0.931168831168831,1.07540983606557,1.08251366120219,1.06666666666667,1.03406385749036,-0.00617206901910294
"day5","D",71,0.960454810939841,0.958862927163407,0.970588235294118,1.04426559356137,1.041046277666,1.02857142857143,0.9985722089449,0.0073576461817928
"day6","D",56,0.950433721694129,0.940896324337526,0.943438914027149,1.05584415584416,1.05844155844156,1.05454545454545,1.01262146252004,-0.00495413604437012
