animal,condition,status,n_units,duration_s,n_spikes,nonzero,density_pct,neg_pct,median_w,elapsed_s,note
day1,lightON,ok,126,10914.8,169282,501,3.18,100.0,-0.834,6.6,
day2,lightON,ok,31,10805.4,57213,38,4.09,100.0,-0.435,0.6,
day3,lightON,ok,47,10490.7,94808,101,4.67,100.0,-0.4268,1.0,
day4,lightON,ok,61,11752.9,144841,309,8.44,100.0,-0.462,1.7,
day5,lightON,ok,71,11259.8,114298,171,3.44,100.0,-0.4955,2.3,
day6,lightON,ok,56,11116.3,170393,374,12.14,100.0,-0.3854,1.5,
night1,lightON,ok,31,10436.2,60573,47,5.05,100.0,-0.5769,0.5,
night2,lightON,ok,34,10943.4,47248,21,1.87,100.0,-0.7151,0.6,
night3,lightON,ok,33,11320.8,21428,2,0.19,100.0,-0.9874,0.6,
night4,lightON,ok,35,10246.9,37497,17,1.43,100.0,-0.5785,0.6,
night5,lightON,ok,24,11141.5,33545,9,1.63,100.0,-0.7468,0.5,
night6,lightON,ok,54,11166.8,70945,55,1.92,100.0,-0.8038,1.5,
night7,lightON,ok,79,13510.0,344673,1374,22.3,100.0,-0.3802,5.2,
day1,ongoing,ok,126,17783.1,2238378,7884,50.06,100.0,-0.3442,13.2,
day2,ongoing,ok,31,16876.0,676988,238,25.59,100.0,-0.3693,2.3,
day3,ongoing,ok,47,16124.2,964399,636,29.42,100.0,-0.3794,2.8,
day4,ongoing,ok,61,17283.0,1535331,1598,43.66,100.0,-0.3739,5.7,
day5,ongoing,ok,71,16727.4,1362752,1503,30.24,100.0,-0.3653,6.1,
day6,ongoing,ok,56,16801.0,1942698,1614,52.4,100.0,-0.3831,5.6,
night1,ongoing,ok,31,16836.7,748756,455,48.92,100.0,-0.3737,1.7,
night2,ongoing,ok,34,17065.2,585619,377,33.6,100.0,-0.3552,1.1,
night3,ongoing,ok,33,18041.1,276920,169,16.0,100.0,-0.3934,0.8,
night4,ongoing,ok,35,17806.5,388943,271,22.77,100.0,-0.3351,1.1,
night5,ongoing,ok,24,18567.0,406608,218,39.49,100.0,-0.3533,0.9,
night6,ongoing,ok,54,17219.9,973259,609,21.28,99.8,-0.3936,3.6,
night7,ongoing,ok,79,19764.7,3562230,3856,62.58,100.0,-0.4076,13.9,
