"animal","condition","source","target","density"
"day3","ongoing","PH","MC",0.0436507936507936
"day3","ongoing","PH","PVH",0.0178571428571429
"day3","ongoing","PH","ARH",0.0306122448979592
"day3","ongoing","PH","DMH",0
"day3","ongoing","MC","PH",0.0357142857142857
"day3","ongoing","MC","PVH",0.0694444444444444
"day3","ongoing","MC","ARH",0.0476190476190476
"day3","ongoing","MC","DMH",0.0555555555555556
"day3","ongoing","PVH","PH",0
"day3","ongoing","PVH","MC",0.0277777777777778
"day3","ongoing","PVH","ARH",0
"day3","ongoing","PVH","DMH",0
"day3","ongoing","ARH","PH",0
"day3","ongoing","ARH","MC",0.0714285714285714
"day3","ongoing","ARH","PVH",0.0357142857142857
"day3","ongoing","ARH","DMH",0
"day3","ongoing","DMH","PH",0
"day3","ongoing","DMH","MC",0.0277777777777778
"day3","ongoing","DMH","PVH",0
"day3","ongoing","DMH","ARH",0.0714285714285714
