"animal","condition","source","target","density"
"night2","ongoing","VM-thalamus","VMH",0
"night2","ongoing","VM-thalamus","PVH",0.0512820512820513
"night2","ongoing","VM-thalamus","DMH",0.0384615384615385
"night2","ongoing","VM-thalamus","AH",0
"night2","ongoing","VMH","VM-thalamus",0.032967032967033
"night2","ongoing","VMH","PVH",0.0476190476190476
"night2","ongoing","VMH","DMH",0.0357142857142857
"night2","ongoing","VMH","AH",0
"night2","ongoing","PVH","VM-thalamus",0
"night2","ongoing","PVH","VMH",0
"night2","ongoing","PVH","DMH",0
"night2","ongoing","PVH","AH",0
"night2","ongoing","DMH","VM-thalamus",0.0384615384615385
"night2","ongoing","DMH","VMH",0
"night2","ongoing","DMH","PVH",0
"night2","ongoing","DMH","AH",0
"night2","ongoing","AH","VM-thalamus",0
"night2","ongoing","AH","VMH",0
"night2","ongoing","AH","PVH",0
"night2","ongoing","AH","DMH",0
