"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"day1","lightON",1,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",2,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",3,"VM-thalamus",-5.891582,0.1,0.1270751,0.000807571147303243,-0.168585836257508
"day1","lightON",4,"VM-thalamus",-3.008206,0.333333333333333,0.931556333333333,0.00944251343793264,0.346455454235896
"day1","lightON",5,"VM-thalamus",-19.657291,0.0606060606060606,0.223056649637811,0.0213996399661006,-2.62747726349997
"day1","lightON",6,"VM-thalamus",-7.623363,0.285714285714286,0.310670095032073,0.00059693666626162,-0.477924167814668
"day1","lightON",7,"VM-thalamus",-2.380604,0,0,0.00738984134192112,0.458560481119744
"day1","lightON",8,"VM-thalamus",-15.275494,0.116959064327485,0.233598004017378,0.0025666922986359,-1.84478143001862
"day1","lightON",9,"VM-thalamus",-14.432331,0.0661764705882353,0.120589166101511,0.00418154124309995,-1.69417195015325
"day1","lightON",10,"VM-thalamus",-1.968096,0,0,0.000182998966035408,0.532244472614039
"day1","lightON",11,"VM-thalamus",-1.081577,0,0,8.06315477426734e-05,0.690598391702955
"day1","lightON",12,"VM-thalamus",-4.658129,0,0,0.00485803273660308,0.0517389583176569
"day1","lightON",13,"VM-thalamus",0.657154,0.2,0.106390922318439,0.571871442765411,1.00117816279798
"day1","lightON",14,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",15,"VM-thalamus",-7.931435,0.238095238095238,0.212222641950935,0.000767045789691176,-0.532953342103725
"day1","lightON",16,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",17,"VM-thalamus",2.048054,0.145454545454545,0.428391200886878,-0.0309948735740484,1.24962683232539
"day1","lightON",18,"VM-thalamus",-0.187022,0.25,0.502401887928575,-0.0509040743393931,0.850387736421551
"day1","lightON",19,"VM-thalamus",-11.881888,0.104575163398693,0.313194634153768,0.0340817637306589,-1.23860061500658
"day1","lightON",20,"VM-thalamus",-12.815302,0.15,0.268212498836841,0.00332523972776005,-1.40533112504919
"day1","lightON",21,"VM-thalamus",-10.516138,0.181818181818182,0.403120749695167,0.00550789998679102,-0.994644348986689
"day1","lightON",22,"VM-thalamus",-16.532217,0.181818181818182,0.408038360842867,0.00498989001110059,-2.06926281424071
"day1","lightON",23,"VM-thalamus",7.38212,0.666666666666667,0.862933915523162,-0.0589080983383935,2.20242113879704
"day1","lightON",24,"VM-thalamus",12.154754,0.25,0.493903490464779,-0.00312411413819533,3.05492999453167
"day1","lightON",25,"VM-thalamus",-11.619147,0.120879120879121,0.235016533599905,0.0145407087186392,-1.19166866311909
"day1","lightON",26,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",27,"VM-thalamus",-7.40124,0.19047619047619,0.160458363279299,-0.00098216711006229,-0.43824758156013
"day1","lightON",28,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",29,"VM-thalamus",-4.142966,0.333333333333333,0.311357095535983,0.000103815009600262,0.143759636971587
"day1","lightON",30,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",31,"VM-thalamus",-5.239322,0.133333333333333,0.314006812656151,0.00633022428832715,-0.0520762890679538
"day1","lightON",32,"VM-thalamus",-12.668022,0.0631578947368421,0.10934941110604,0.00951606006741382,-1.3790233243101
"day1","lightON",33,"VM-thalamus",-4.565485,0.166666666666667,0.0842771666666667,-0.00059820136813168,0.0682874366695858
"day1","lightON",34,"VM-thalamus",-3.487106,0,0,0.000611307390792477,0.260912231979315
"day1","lightON",35,"VM-thalamus",-14.503349,0.104761904761905,0.246780910675365,0.0164203598866698,-1.70685749736189
"day1","lightON",36,"VM-thalamus",-8.717051,0.133333333333333,0.134205810765801,0.00524483428988845,-0.673283523971184
"day1","lightON",37,"VM-thalamus",-1.114463,0,0,-5.7748312605753e-05,0.684724149883932
"day1","lightON",38,"VM-thalamus",-7.133907,0.138888888888889,0.271354850288981,-0.000958649325710587,-0.390495386455685
"day1","lightON",39,"VM-thalamus",-16.569927,0.104575163398693,0.162630541112793,-0.000530514017633932,-2.07599874013608
"day1","lightON",40,"VM-thalamus",-6.841335,0.0476190476190476,0.0312760476190476,0.0128255074501567,-0.338234890272656
"day1","lightON",41,"VM-thalamus",-7.189973,0.0833333333333333,0.0547250269089854,0.00613126743179827,-0.400510141726174
"day1","lightON",42,"VM-thalamus",-7.01205,0.107142857142857,0.124067934844497,0.000216263077284162,-0.368728753683665
"day1","lightON",43,"VM-thalamus",-3.15649,0,0,3.83115408246281e-05,0.319968314605295
"day1","lightON",44,"VM-thalamus",-6.696824,0.2,0.132730900092168,-0.00100307863963639,-0.312421700480381
"day1","lightON",45,"VM-thalamus",-7.210112,0.166666666666667,0.208204102277213,0.0126930994340487,-0.404107458395678
"day1","lightON",46,"VM-thalamus",2.886272,0,0,-0.0018614567400498,1.39935301456274
"day1","lightON",47,"VM-thalamus",2.850312,0.0666666666666667,0.148747466666667,-0.0021805029950279,1.39292968135676
"day1","lightON",48,"VM-thalamus",-7.223274,0.238095238095238,0.194314124465294,0.00433222869717721,-0.406458512668681
"day1","lightON",49,"VM-thalamus",-5.021765,0.333333333333333,0.408519892376688,0.000226181098374739,-0.0132153017961331
"day1","lightON",50,"VM-thalamus",-7.551773,0.0476190476190476,0.0320837619047619,0.000236156975360437,-0.465136447452696
"day1","lightON",51,"VM-thalamus",-3.665644,0.333333333333333,0.200586529069528,-0.000881282220741761,0.229020989934535
"day1","lightON",52,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",53,"VM-thalamus",-5.927077,0.333333333333333,0.53087729856785,0.00187382179151731,-0.174926109120313
"day1","lightON",54,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",55,"VM-thalamus",0.90192,0.127272727272727,0.180020815095579,-0.0023949135592585,1.04489934120444
"day1","lightON",56,"VM-thalamus",-4.411637,0.1,0.0452393,4.47202962664117e-05,0.0957684424280541
"day1","lightON",57,"VM-thalamus",-1.165996,0.0666666666666667,0.0530712666666667,-0.00153118260319503,0.67551909899116
"day1","lightON",58,"VM-thalamus",6.303499,0.166666666666667,0.465778166666667,0.00476481269401699,2.00975311638398
"day1","lightON",59,"VM-thalamus",-0.643401,0.1,0.0408493,0.0406816412529925,0.768867314140832
"day1","lightON",60,"VM-thalamus",-12.742258,0.134920634920635,0.445062742783319,0.00245001535558477,-1.39228368481843
"day1","lightON",61,"VM-thalamus",-5.057863,0.0666666666666667,0.0386499333333333,0.00612964705370353,-0.0196632851684824
"day1","lightON",62,"VM-thalamus",-3.274481,0,0,5.09275943045355e-05,0.298892243740237
"day1","lightON",63,"VM-thalamus",-5.041298,0.266666666666667,0.244496696975459,4.58806253865135e-05,-0.0167043720829107
"day1","lightON",64,"VM-thalamus",-6.735875,0.238095238095238,0.323542874100292,0.0102730149717705,-0.319397161688027
"day1","lightON",65,"VM-thalamus",-5.451174,0,0,-0.000733604454414258,-0.0899182241723622
"day1","lightON",66,"VM-thalamus",-6.628758,0.0833333333333333,0.153598149704883,0.0117580784965185,-0.300263452482643
"day1","lightON",67,"VM-thalamus",-12.627841,0.10989010989011,0.205242582144331,0.000125136421039225,-1.3718460175373
"day1","lightON",68,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",69,"VM-thalamus",-1.806704,0,0,1.21119488355093e-19,0.56107302080037
"day1","lightON",70,"VM-thalamus",-3.332422,0.333333333333333,0.239204666666667,0.000263118476686054,0.288542567731115
"day1","lightON",71,"VM-thalamus",-3.838547,0.666666666666667,0.461550845799104,0.0100641899341266,0.198136296349591
"day1","lightON",72,"VM-thalamus",-0.539103,0.333333333333333,0.239204666666667,-0.000411314223819472,0.787497481179707
"day1","lightON",73,"VM-thalamus",-2.066208,0,0,1.21119488355093e-19,0.514719276076061
"day1","lightON",74,"VM-thalamus",2.124665,1,0.633241,1.21119488355093e-19,1.26331142576932
"day1","lightON",75,"VM-thalamus",-2.673724,0.155555555555556,0.122852130609323,-0.000436333651496002,0.406202098768838
"day1","lightON",76,"VM-thalamus",-19.954916,0.0632411067193676,0.135367465892689,-0.00064833392468479,-2.68064034874557
"day1","lightON",77,"VM-thalamus",-2.557944,0.166666666666667,0.13359094467047,0.00394640170209639,0.4268832310989
"day1","lightON",78,"VM-thalamus",-4.832765,0.133333333333333,0.167276808056455,0.000363866579594849,0.0205447086580197
"day1","lightON",79,"VM-thalamus",-7.253377,0.194444444444444,0.403951903037152,0.00342895902143725,-0.411835642799376
"day1","lightON",80,"VM-thalamus",4.197053,0,0,-0.000728998289732108,1.63349047627229
"day1","lightON",81,"VM-thalamus",-4.675363,0.333333333333333,0.239521820933247,0.00103217348531161,0.0486605455125413
"day1","lightON",82,"VM-thalamus",-12.163482,0.0606060606060606,0.058799176699115,-0.000149792731286143,-1.28890017259296
"day1","lightON",83,"VM-thalamus",-3.203498,0.222222222222222,0.244597017490482,-0.158977974557972,0.31157153909509
"day1","lightON",84,"VM-thalamus",-5.675157,0.0727272727272727,0.15278679270305,8.50163952840147e-06,-0.129927051799624
"day1","lightON",85,"VM-thalamus",-6.945568,0.2,0.151237624974221,0.00791448543783133,-0.356853446725925
"day1","lightON",86,"VM-thalamus",0.640410000000001,0.5,0.75359293170878,0.00414360271734732,0.998187275945893
"day1","lightON",87,"VM-thalamus",0,0,0,1.21119488355093e-19,0.883794427824496
"day1","lightON",88,"VM-thalamus",-3.609563,0,0,0.000429007054272187,0.239038424570933
"day1","lightON",89,"VM-thalamus",-10.20598,0.0909090909090909,0.13168737970811,-4.33559396484693e-05,-0.939242564211879
"day1","lightON",90,"VM-thalamus",-4.785424,0.3,0.2032162,0.000403158132919454,0.0290009660914063
"day1","lightON",91,"VM-thalamus",-3.883543,0.0897435897435897,0.102066403400555,0.00502272906630886,0.190098913119987
"day1","lightON",92,"VM-thalamus",-3.550874,0.333333333333333,0.144673,6.79357887487765e-05,0.24952171162672
"day1","lightON",93,"VM-thalamus",-6.385496,0.194444444444444,0.236074615627441,-0.000722732965186621,-0.256810925164664
"day1","lightON",94,"VM-thalamus",-3.953568,0.166666666666667,0.0727338333333333,0.000174527170174907,0.177590739934527
"day1","lightON",95,"VM-thalamus",-3.698184,0.166666666666667,0.1176355,0.00210580776814394,0.223208552155814
"day1","lightON",96,"VM-thalamus",-3.790775,0.4,0.270231985924382,0.00397564483193427,0.206669540896764
"day1","lightON",97,"VM-thalamus",-7.006362,0.2,0.23076800075371,-0.00103980999292477,-0.36771273813095
"day1","lightON",98,"VM-thalamus",-1.728277,0,0,0.000198075990939238,0.575081996143692
"day1","lightON",99,"VM-thalamus",-3.450806,0.166666666666667,0.0880263333333333,0.00527526863221301,0.26739629747924
"day1","lightON",100,"VM-thalamus",-3.695057,0.166666666666667,0.107692166666667,-0.000268798347466903,0.223767110635656
"day1","lightON",101,"VM-thalamus",-11.359676,0.181818181818182,0.284298642997819,0.0200426201499201,-1.14532081299979
"day1","lightON",102,"VM-thalamus",-8.520521,0.142857142857143,0.141291994660038,9.67642639196762e-05,-0.638178471830683
"day1","lightON",103,"VM-thalamus",-5.992048,0.0666666666666667,0.0328653333333333,0.0151207015757538,-0.186531514618815
"day1","lightON",104,"VM-thalamus",-5.952194,0.0303030303030303,0.0389177645670357,0.0229816238563232,-0.179412618022837
"day1","lightON",105,"VM-thalamus",-12.281006,0.128205128205128,0.366645889936736,0.0146274233276456,-1.30989282586605
"day1","lightON",106,"VM-thalamus",-3.575022,0.123809523809524,0.189564234493083,-0.117770782136908,0.245208289761922
"day1","lightON",107,"VM-thalamus",-7.799098,0.142857142857143,0.218868800103779,0.000720591125517241,-0.509314725683242
"day1","lightON",108,"VM-thalamus",-4.405428,0,0,-0.00211718204457012,0.0968775212900107
"day1","lightON",109,"VM-thalamus",-13.306379,0.0916666666666667,0.147946491692056,0.0329168219386118,-1.49304945655074
"day1","lightON",110,"VM-thalamus",-17.358257,0.128654970760234,0.296540247512066,-0.00274915706687411,-2.21681370860869
"day1","lightON",111,"VM-thalamus",-1.641618,0,0,0.000812458555662828,0.590561407497906
"day1","lightON",112,"VM-thalamus",-1.73155,0,0,1.21119488355093e-19,0.574497358502335
"day1","lightON",113,"VM-thalamus",-18.241566,0.08,0.146015575131384,-0.00167070488548756,-2.37459424339306
"day1","lightON",114,"VM-thalamus",-10.100616,0.133333333333333,0.674306258448247,-0.000660278086244198,-0.920421983569068
"day1","lightON",115,"PVH",-9.929052,0.111111111111111,0.133903119491294,0.0115415723254127,-0.889776468047606
"day1","lightON",116,"PVH",0,0,0,1.21119488355091e-19,0.883794427824496
"day1","lightON",117,"VM-thalamus",-2.440134,1,0.59069,-1.00322870376544e-05,0.447926970948656
"day1","lightON",118,"VM-thalamus",0.493476,0.2,0.245442677047979,0.0182903054726682,0.971941279247107
"day1","lightON",119,"VM-thalamus",-10.081162,0.214285714285714,0.215116311117564,-0.00224720507371672,-0.916947024609411
"day1","lightON",120,"VM-thalamus",-2.069458,0.142857142857143,0.156216392173885,1,0.514138746795764
