"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"day4","ongoing",1,"VMH",-2.807173,1,0.421186333333333,0.00492041256289964,-0.289058352147227
"day4","ongoing",2,"VMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",3,"DMH",-1.799074,0,0,-0.0692257459807876,-0.0502432497152915
"day4","ongoing",4,"VM-thalamus",-7.552431,0.371794871794872,0.327473520207637,-0.00474651204954484,-1.41319325887361
"day4","ongoing",5,"VM-thalamus",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",6,"VM-thalamus",-1.290642,1,0.270962,-0.051305818639391,0.0702025003148882
"day4","ongoing",7,"VM-thalamus",-1.933323,1,0.474801,0.029382079734992,-0.0820463649712187
"day4","ongoing",8,"VM-thalamus",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",9,"VMH",-4.729715,0.571428571428571,0.431805052233545,-0.0320972470114599,-0.744501780480853
"day4","ongoing",10,"VMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",11,"VMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",12,"VMH",-2.328497,0.666666666666667,0.29461405476639,0.0320148456088762,-0.175661693712184
"day4","ongoing",13,"DMH",3.3642,0,0,0.000374876056068183,1.17291817509929
"day4","ongoing",14,"DMH",-1.086316,0.466666666666667,0.386937549174664,-0.0121704676791848,0.118606610049654
"day4","ongoing",15,"DMH",-1.480622,0,0,-1.29238043907021e-18,0.0251969074514698
"day4","ongoing",16,"DMH",-2.115668,1,0.278242333333333,-0.0630900505549657,-0.125243253226193
"day4","ongoing",17,"DMH",-2.210369,0.666666666666667,0.356369627209013,0.00466121170040951,-0.147677586575801
"day4","ongoing",18,"DMH",-3.246594,0.833333333333333,0.284303961308196,-0.0700805342768168,-0.393155639343965
"day4","ongoing",19,"DMH",7.417428,0.3,0.391242860866835,-0.0495457582647666,2.13311361225376
"day4","ongoing",20,"DMH",2.272205,0.533333333333333,0.473483535497726,-0.081809287324879,0.914228405760996
"day4","ongoing",21,"DMH",-7.134258,0.266666666666667,0.369830404246277,-0.0322845406431045,-1.3141295480384
"day4","ongoing",22,"DMH",-7.493422,0.466666666666667,0.263205905490053,-0.0258198943398158,-1.39921423461171
"day4","ongoing",23,"DMH",-4.352331,0.333333333333333,0.424313517742825,-0.138662583551609,-0.655100840080978
"day4","ongoing",24,"DMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",25,"DMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",26,"DMH",-4.971653,0.761904761904762,0.434114033134735,0.0176398408039047,-0.801816040540805
"day4","ongoing",27,"DMH",-0.754007,0,0,0.00358685018134237,0.197329441710091
"day4","ongoing",28,"DMH",-6.550423,0.416666666666667,0.387453200664347,-0.21350058866209,-1.17582109288831
"day4","ongoing",29,"DMH",-3.721967,0.5,0.254753635527538,0.00173792402128843,-0.505769828712645
"day4","ongoing",30,"DMH",-1.854971,1,0.369051333333333,0.0098789171826913,-0.063485052138107
"day4","ongoing",31,"DMH",-5.059401,0.75,0.455690943571635,0.00924213126256579,-0.822603232679868
"day4","ongoing",32,"DMH",-0.679722,0,0,-0.0600325875459331,0.214927296567755
"day4","ongoing",33,"DMH",-1.013631,0,0,0.00482189493753273,0.135825430542746
"day4","ongoing",34,"DMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",35,"DMH",-1.101767,0,0,0.0261294356732522,0.114946322570274
"day4","ongoing",36,"PH",-0.951906,0,0,0.0118642702606536,0.150447865638516
"day4","ongoing",37,"PH",-2.144605,1,0.282745,0.00776105838330378,-0.132098326605963
"day4","ongoing",38,"PH",-15.243844,0.211822660098522,0.381679496950489,-0.0191390596244207,-3.23526190832305
"day4","ongoing",39,"PH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",40,"DMH",-0.842623,0.333333333333333,0.223275983856373,-0.0415252882564404,0.176336623428247
"day4","ongoing",41,"DMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",42,"DMH",-2.004771,1,0.401914,0.0229936908976753,-0.0989721445212003
"day4","ongoing",43,"DMH",-12.550442,0.179310344827586,0.368578532311402,0.574069358648653,-2.59720446106799
"day4","ongoing",44,"DMH",0,0,0,-1.29238043907021e-18,0.375951044290191
"day4","ongoing",45,"DMH",6.547039,1,0.526278,0.304065768657096,1.92692152378762
"day4","ongoing",46,"DMH",3.529904,0.466666666666667,0.674255301876272,0.660673277508961,1.21217286906623
"day4","ongoing",47,"DMH",11.743613,0.571428571428571,0.478777916497302,0.402716817281143,3.15797160131486
"day4","ongoing",48,"DMH",-0.037713000000001,0.281385281385281,0.406783390448115,0.00981641056987991,0.367016967420741
"day4","ongoing",49,"DMH",4.142093,0,0,0.365826853692975,1.3571982869495
"day4","ongoing",50,"DMH",3.694056,0.472727272727273,0.512507518236746,1,1.25105989969954
"day4","ongoing",51,"PH",-1.581549,0,0,0.00449442698764746,0.00128765663071909
"day4","ongoing",52,"PH",-2.57037,0.833333333333333,0.414030979622635,-1.30363125487126e-18,-0.232960555501075
"day4","ongoing",53,"PH",-7.485945,0.563636363636364,0.349442818626533,0.0209161663165135,-1.39744295964676
"day4","ongoing",54,"PH",-8.633375,0.395604395604396,0.298956869010105,-0.0161591764944889,-1.6692650852351
"day4","ongoing",55,"PH",0,0,0,-1.30363125487126e-18,0.375951044290191
"day4","ongoing",56,"PH",-0.963048,0,0,-1.30363125487126e-18,0.147808365082225
"day4","ongoing",57,"PH",-4.140853,0.785714285714286,0.387773826250387,-0.0264142318920184,-0.605002446736573
"day4","ongoing",58,"PH",0,0,0,-1.30363125487126e-18,0.375951044290191
"day4","ongoing",59,"PH",-1.27982,1,0.379537,-1.30363125487126e-18,0.072766193998265
"day4","ongoing",60,"PH",-1.817753,0.666666666666667,0.254777212606292,-0.0134404315239049,-0.0546682390251967
"day4","ongoing",61,"PH",0,0,0,-1.14067734801235e-18,0.375951044290191
