"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"night2","ongoing",1,"VM-thalamus",-0.826263,0,0,-5.73678191016085e-17,-0.0294880429676879
"night2","ongoing",2,"VM-thalamus",-1.256597,0,0,2.14607721599086e-18,-0.370367728455782
"night2","ongoing",3,"VM-thalamus",-1.160664,0,0,0.493411740508798,-0.2943764963711
"night2","ongoing",4,"VM-thalamus",-1.327207,0,0,-8.47489892514049e-17,-0.426299898798619
"night2","ongoing",5,"VM-thalamus",-2.630038,0,0,0.352891416921702,-1.45830903942924
"night2","ongoing",6,"VMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",7,"VM-thalamus",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",8,"VMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",9,"VMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",10,"PVH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",11,"VMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",12,"PVH",-0.610515,0,0,-9.93221172043377e-17,0.141412026245261
"night2","ongoing",13,"VMH",-0.937565,0,0,2.14607721599086e-18,-0.117653492953503
"night2","ongoing",14,"DMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",15,"DMH",-5.063449,0,0,0.0325810908541835,-3.38588245064766
"night2","ongoing",16,"VMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",17,"VMH",-2.756325,0,0,2.14607721599086e-18,-1.5583445300975
"night2","ongoing",18,"DMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",19,"DMH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",20,"VM-thalamus",-3.143386,0,0,-1.84645450423267e-17,-1.86494645312638
"night2","ongoing",21,"VM-thalamus",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",22,"VM-thalamus",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",23,"VM-thalamus",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",24,"VM-thalamus",-2.055338,0,0,0.742392099413007,-1.00307297802111
"night2","ongoing",25,"VM-thalamus",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",26,"AH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",27,"AH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",28,"VM-thalamus",-2.727989,0,0,0.244319634430187,-1.53589878616839
"night2","ongoing",29,"AH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",30,"AH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",31,"AH",0,0,0,2.14607721599086e-18,0.625018158193384
"night2","ongoing",32,"PVH",-2.33191,0,0,1,-1.22215345126936
"night2","ongoing",33,"AH",0,0,0,1.22045136473266e-18,0.625018158193384
"night2","ongoing",34,"AH",0,0,0,1.22045136473266e-18,0.625018158193384
