animal,old_id,variant,status,n_units,jitter_ms,seed,spikes_kept,spikes_total,dropped_at_edges,retention_pct,nonzero,neg_pct,median_w,elapsed_s,note
day1,171019,lightON_jittered,ok,126,25.0,42,169080,169282,202,99.88,78,97.4,-0.8819,3.7,
day1,171019,ongoing_aligned_jittered,ok,126,25.0,42,161343,161547,204,99.87,89,96.6,-0.9161,3.9,
day2,180131,lightON_jittered,ok,31,25.0,42,57133,57213,80,99.86,2,100.0,-0.9531,0.6,
day2,180131,ongoing_aligned_jittered,ok,31,25.0,42,55775,55837,62,99.89,1,100.0,-0.7181,0.4,
day3,180302,lightON_jittered,ok,47,25.0,42,94684,94808,124,99.87,6,100.0,-0.8995,0.8,
day3,180302,ongoing_aligned_jittered,ok,47,25.0,42,83938,84040,102,99.88,3,100.0,-0.9178,0.7,
day4,180419,lightON_jittered,ok,61,25.0,42,144690,144841,151,99.9,30,83.3,-0.7024,1.2,
day4,180419,ongoing_aligned_jittered,ok,61,25.0,42,116753,116914,161,99.86,19,89.5,-0.7378,1.2,
day5,180420,lightON_jittered,ok,71,25.0,42,114143,114298,155,99.86,10,90.0,-0.9631,1.6,
day5,180420,ongoing_aligned_jittered,ok,71,25.0,42,106525,106642,117,99.89,12,100.0,-1.0962,1.6,
day6,180423,lightON_jittered,ok,56,25.0,42,170168,170393,225,99.87,12,91.7,-0.834,1.0,
day6,180423,ongoing_aligned_jittered,ok,56,25.0,42,159843,160058,215,99.87,10,100.0,-0.8542,1.1,
night1,171207,lightON_jittered,ok,31,25.0,42,60500,60573,73,99.88,1,100.0,-0.9346,0.3,
night1,171207,ongoing_aligned_jittered,ok,31,25.0,42,65140,65235,95,99.85,6,100.0,-1.0275,0.3,
night2,171208,lightON_jittered,ok,34,25.0,42,47197,47248,51,99.89,3,100.0,-0.977,0.4,
night2,171208,ongoing_aligned_jittered,ok,34,25.0,42,43866,43944,78,99.82,10,100.0,-0.7941,0.4,
night3,171213,lightON_jittered,ok,33,25.0,42,21393,21428,35,99.84,2,100.0,-0.7997,0.4,
night3,171213,ongoing_aligned_jittered,ok,33,25.0,42,20322,20339,17,99.92,1,100.0,-0.9316,0.3,
night4,180110,lightON_jittered,ok,35,25.0,42,37443,37497,54,99.86,2,100.0,-0.9707,0.4,
night4,180110,ongoing_aligned_jittered,ok,35,25.0,42,26846,26891,45,99.83,1,100.0,-0.9359,0.4,
night5,180111,lightON_jittered,ok,24,25.0,42,33504,33545,41,99.88,2,100.0,-0.7475,0.2,
night5,180111,ongoing_aligned_jittered,ok,24,25.0,42,34399,34444,45,99.87,1,100.0,-1.3639,0.3,
night6,180221,lightON_jittered,ok,54,25.0,42,70850,70945,95,99.87,13,100.0,-0.9122,0.9,
night6,180221,ongoing_aligned_jittered,ok,54,25.0,42,64077,64167,90,99.86,5,100.0,-0.9408,0.9,
night7,180228,lightON_jittered,ok,79,25.0,42,344236,344673,437,99.87,60,50.0,0.105,2.3,
night7,180228,ongoing_aligned_jittered,ok,79,25.0,42,311176,311580,404,99.87,67,53.7,-0.2127,2.2,
