animal,level,jitter_ms,status,n_units,spikes_kept,spikes_total,retention_pct,n_base,n_jit,overlap,survival_pct,jaccard,sign_agree_pct,weight_r,neg_pct,elapsed_s,note
day1,0,0,ok,126,161547,161547,100.0,509,509,509,100.0,1.0,100.0,1.0,93.71,3.7,
day1,5,5,ok,126,161500,161547,99.971,509,179,90,17.68,0.1505,100.0,0.9679,82.12,3.9,
day1,10,10,ok,126,161470,161547,99.952,509,153,62,12.18,0.1033,100.0,0.9477,85.62,3.9,
day1,25,25,ok,126,161343,161547,99.874,509,89,12,2.36,0.0205,100.0,0.9294,96.63,3.7,
day1,50,50,ok,126,161148,161547,99.753,509,67,9,1.77,0.0159,100.0,-0.0286,98.51,4.0,
day1,100,100,ok,126,160739,161547,99.5,509,78,6,1.18,0.0103,100.0,0.8927,98.72,3.8,
day1,shuffle,,ok,126,161547,161547,100.0,509,50,7,1.38,0.0127,100.0,0.5062,100.0,3.8,
day2,0,0,ok,31,55837,55837,100.0,35,35,35,100.0,1.0,100.0,1.0,97.14,0.4,
day2,5,5,ok,31,55819,55837,99.968,35,17,3,8.57,0.0612,33.33,0.9844,5.88,0.4,
day2,10,10,ok,31,55810,55837,99.952,35,6,0,0.0,0.0,,,16.67,0.4,
day2,25,25,ok,31,55775,55837,99.889,35,1,0,0.0,0.0,,,100.0,0.4,
day2,50,50,ok,31,55716,55837,99.783,35,4,1,2.86,0.0263,100.0,,100.0,0.4,
day2,100,100,ok,31,55576,55837,99.533,35,1,0,0.0,0.0,,,100.0,0.4,
day2,shuffle,,ok,31,55837,55837,100.0,35,0,0,0.0,0.0,,,,0.4,
day3,0,0,ok,47,84040,84040,100.0,82,82,82,100.0,1.0,100.0,1.0,98.78,0.6,
day3,5,5,ok,47,84019,84040,99.975,82,2,2,2.44,0.0244,100.0,,50.0,0.6,
day3,10,10,ok,47,84000,84040,99.952,82,3,2,2.44,0.0241,100.0,,100.0,0.7,
day3,25,25,ok,47,83938,84040,99.879,82,3,0,0.0,0.0,,,100.0,0.6,
day3,50,50,ok,47,83844,84040,99.767,82,8,1,1.22,0.0112,100.0,,100.0,0.6,
day3,100,100,ok,47,83636,84040,99.519,82,2,1,1.22,0.012,100.0,,100.0,0.7,
day3,shuffle,,ok,47,84040,84040,100.0,82,5,0,0.0,0.0,,,100.0,0.7,
day4,0,0,ok,61,116914,116914,100.0,202,202,202,100.0,1.0,100.0,1.0,91.09,1.1,
day4,5,5,ok,61,116877,116914,99.968,202,67,31,15.35,0.1303,77.42,0.9208,25.37,1.1,
day4,10,10,ok,61,116848,116914,99.944,202,47,20,9.9,0.0873,65.0,0.9063,21.28,1.2,
day4,25,25,ok,61,116753,116914,99.862,202,19,2,0.99,0.0091,100.0,,89.47,1.2,
day4,50,50,ok,61,116584,116914,99.718,202,15,4,1.98,0.0188,100.0,0.9264,100.0,1.1,
day4,100,100,ok,61,116264,116914,99.444,202,12,2,0.99,0.0094,100.0,,100.0,1.2,
day4,shuffle,,ok,61,116914,116914,100.0,202,11,2,0.99,0.0095,100.0,,100.0,1.2,
day5,0,0,ok,71,106642,106642,100.0,167,167,167,100.0,1.0,100.0,1.0,99.4,1.4,
day5,5,5,ok,71,106619,106642,99.978,167,39,8,4.79,0.0404,100.0,0.9955,43.59,1.5,
day5,10,10,ok,71,106592,106642,99.953,167,24,1,0.6,0.0053,100.0,,50.0,1.4,
day5,25,25,ok,71,106525,106642,99.89,167,12,2,1.2,0.0113,100.0,,100.0,1.5,
day5,50,50,ok,71,106409,106642,99.782,167,14,2,1.2,0.0112,100.0,,100.0,1.5,
day5,100,100,ok,71,106181,106642,99.568,167,19,1,0.6,0.0054,100.0,,100.0,1.9,
day5,shuffle,,ok,71,106642,106642,100.0,167,14,3,1.8,0.0169,100.0,0.4767,100.0,2.0,
day6,0,0,ok,56,160058,160058,100.0,337,337,337,100.0,1.0,100.0,1.0,100.0,1.5,
day6,5,5,ok,56,160003,160058,99.966,337,21,9,2.67,0.0258,100.0,0.9646,80.95,1.4,
day6,10,10,ok,56,159966,160058,99.943,337,19,7,2.08,0.0201,100.0,0.9924,84.21,1.0,
day6,25,25,ok,56,159843,160058,99.866,337,10,1,0.3,0.0029,100.0,,100.0,1.1,
day6,50,50,ok,56,159662,160058,99.753,337,15,2,0.59,0.0057,100.0,,93.33,1.1,
day6,100,100,ok,56,159272,160058,99.509,337,15,3,0.89,0.0086,100.0,0.8928,100.0,1.1,
day6,shuffle,,ok,56,160058,160058,100.0,337,16,6,1.78,0.0173,100.0,0.9396,100.0,1.1,
night1,0,0,ok,31,65235,65235,100.0,69,69,69,100.0,1.0,100.0,1.0,98.55,0.3,
night1,5,5,ok,31,65219,65235,99.975,69,5,3,4.35,0.0423,100.0,1.0,80.0,0.3,
night1,10,10,ok,31,65196,65235,99.94,69,2,0,0.0,0.0,,,100.0,0.3,
night1,25,25,ok,31,65140,65235,99.854,69,6,1,1.45,0.0135,100.0,,100.0,0.3,
