animal,n_pulses,n_units,early_n_active,late_n_active,early_mean_rate,late_mean_rate,rate_p_value
day1,95,126,126,125,0.0071,0.0066,0.0488
night1,105,31,31,31,0.0101,0.0099,0.8359
night2,105,34,33,32,0.007,0.3105,0.3223
night3,105,33,33,32,0.003,0.0034,0.0665
night4,105,35,34,34,0.0048,0.0056,0.0601
night5,105,24,24,24,0.0091,0.0081,0.1669
day2,105,31,30,30,0.0086,0.0094,0.0203
night6,109,54,52,52,0.006,0.0069,0.0035
night7,108,79,76,76,0.0167,0.0195,0.0001
day3,109,47,40,39,0.0117,0.0129,0.0905
day4,109,61,59,59,0.0099,0.2807,0.3179
day5,109,71,71,71,0.0079,0.0077,0.7001
day6,109,56,55,54,0.0156,0.0166,0.1114
