"metric","estimator","model_level","term","estimate","std_error","df","t_value","p_value"
"node_strength","glmcc","interaction","(Intercept)",618.258202463074,942.611446143081,175.543162115822,0.655899315664821,0.51274765423636
"node_strength","glmcc","interaction","conditionlightON",387.730595908449,210.221859736007,346.78272072057,1.84438762170288,0.065979409873885
"node_strength","glmcc","interaction","regionARH",-2823.91089063566,1131.51068515911,670.268077368292,-2.49569971161038,0.0128101875239059
"node_strength","glmcc","interaction","regionDMH",895.868566529807,896.642057246253,679.095388697626,0.999137347272309,0.318084036126716
"node_strength","glmcc","interaction","regionMC",-29.4706801731488,971.897157117136,665.580898892152,-0.0303228381288463,0.975818672813208
"node_strength","glmcc","interaction","regionPH",97.9109374045742,944.395840549123,731.197223168832,0.103675739769929,0.917455108436474
"node_strength","glmcc","interaction","regionPVH",-97.5104995979922,894.797294759315,671.528618100535,-0.108974960216236,0.913254905232501
"node_strength","glmcc","interaction","regionVM-thalamus",-590.871307041867,865.071496730504,667.96284986652,-0.683031760120449,0.494823601721127
"node_strength","glmcc","interaction","regionVMH",404.908833417231,979.044754367093,694.933229967286,0.413575407672743,0.679312681507342
"node_strength","glmcc","interaction","regionZI",752.281861776302,1258.58363500446,670.405898860626,0.597720994341098,0.55022795890357
"node_strength","glmcc","interaction","conditionlightON:regionDMH",-59.8140840689017,238.815167139205,347.953900924221,-0.250461831153446,0.802378039926017
"node_strength","glmcc","interaction","conditionlightON:regionPH",-42.9048213543464,303.127283405526,350.772160014061,-0.141540612485706,0.887524132475444
"node_strength","glmcc","interaction","conditionlightON:regionPVH",10.1410688910491,229.902644505661,347.203102382412,0.0441102750812395,0.964841859597242
"node_strength","glmcc","interaction","conditionlightON:regionVM-thalamus",635.611457037286,215.679287160088,346.807355731057,2.94702131765441,0.00342566959895754
"node_strength","glmcc","interaction","conditionlightON:regionVMH",-31.336590961873,290.9366648115,349.637013257876,-0.107709322172151,0.914288054679786
"node_strength","glmcc","interaction","ANOVA_condition",51.4352583387594,NA,1,NA,4.18671462165391e-12
"node_strength","glmcc","interaction","ANOVA_region",3.6800861817914,NA,8,NA,0.000323190543749071
"node_strength","glmcc","interaction","ANOVA_condition:region",14.0031292641609,NA,5,NA,1.56300574623658e-12
"clustering_coefficient","glmcc","interaction","(Intercept)",0.241794742699365,0.0616459803549866,132.533300197878,3.92231158150128,0.00014009292793195
"clustering_coefficient","glmcc","interaction","conditionlightON",0.882861046073138,0.0708351182924511,1020.13360813968,12.4636065747521,2.7312192402938e-33
"clustering_coefficient","glmcc","interaction","regionARH",-0.295129580114926,0.07190604184378,1031.99996355342,-4.10437805429635,4.37389793383194e-05
"clustering_coefficient","glmcc","interaction","regionDMH",0.196131561265305,0.059087823873627,1025.16030748886,3.31932280472501,0.000934129428721215
"clustering_coefficient","glmcc","interaction","regionMC",-0.188848583879772,0.0614484128575879,1029.33809928521,-3.07328660086707,0.00217286516792303
"clustering_coefficient","glmcc","interaction","regionPH",0.0602089581889396,0.0782707280660785,1030.03336758712,0.769239787039024,0.441927327405056
"clustering_coefficient","glmcc","interaction","regionPVH",0.278408764723967,0.0568820537143166,1025.59406225082,4.89449213845621,1.14408936180049e-06
"clustering_coefficient","glmcc","interaction","regionVM-thalamus",0.199894374250176,0.0538859006972972,1025.5479747431,3.70958584088774,0.000218737493911471
"clustering_coefficient","glmcc","interaction","regionVMH",0.130564625731408,0.0702739831063511,1021.97035998,1.85793689157785,0.0634654000782141
"clustering_coefficient","glmcc","interaction","regionZI",-0.178593249435795,0.0801937277665122,1031.03849641411,-2.22702266635837,0.0261610700863397
"clustering_coefficient","glmcc","interaction","conditionlightON:regionDMH",-0.39635660020227,0.0786690434996029,1024.54652086909,-5.03827913204856,5.54964460915037e-07
"clustering_coefficient","glmcc","interaction","conditionlightON:regionPH",-0.26353325989132,0.0932485775811042,1027.17461148448,-2.82613704924462,0.00480266050118274
"clustering_coefficient","glmcc","interaction","conditionlightON:regionPVH",-0.473679392885268,0.0768747546920882,1021.5465308227,-6.16170282145978,1.03390149004671e-09
"clustering_coefficient","glmcc","interaction","conditionlightON:regionVM-thalamus",-0.397116346460685,0.0726396160720357,1020.17124171503,-5.46693895059784,5.75680996415632e-08
"clustering_coefficient","glmcc","interaction","conditionlightON:regionVMH",-0.271248812529335,0.0924799632100848,1023.1672330925,-2.9330549355123,0.0034312697499408
"clustering_coefficient","glmcc","interaction","ANOVA_condition",762.843717456582,NA,1,NA,2.23148016427516e-102
"clustering_coefficient","glmcc","interaction","ANOVA_region",2.30242546155654,NA,8,NA,0.0192351990128028
"clustering_coefficient","glmcc","interaction","ANOVA_condition:region",9.46378828420361,NA,5,NA,1.10326650546483e-08
"local_efficiency","glmcc","interaction","(Intercept)",0.242921104060844,0.201858402583612,227.343446481537,1.20342329549657,0.230064183828712
"local_efficiency","glmcc","interaction","conditionlightON",2.55817816633095,0.244907129813026,1020.23571273774,10.4455030291849,2.46440293832893e-24
"local_efficiency","glmcc","interaction","regionARH",-0.463502417878424,0.247848241305704,1029.32322025853,-1.87010573662584,0.0617528000295662
"local_efficiency","glmcc","interaction","regionDMH",0.322287234251479,0.20413666600326,1027.34285980069,1.57878170816374,0.114693969023215
"local_efficiency","glmcc","interaction","regionMC",-0.251637196956316,0.211499014140901,1016.17975454371,-1.18977952676732,0.234410961500709
"local_efficiency","glmcc","interaction","regionPH",0.566627542353317,0.270113290627111,1031.90226505487,2.09774032606023,0.0361708501544843
"local_efficiency","glmcc","interaction","regionPVH",0.481342439349018,0.196500707456533,1027.90896590147,2.44957102485493,0.0144686385409375
"local_efficiency","glmcc","interaction","regionVM-thalamus",-0.0115815894870932,0.186151652626561,1027.87452429254,-0.0622158832526032,0.950403009533995
